Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1667.7156677246094
FDW14,OUT017,1414.9210815429688
NCN55,OUT010,724.0542449951172
FDQ58,OUT017,2532.4705505371094
FDY38,OUT027,6269.0189208984375
FDH56,OUT046,1910.8746948242188
FDL48,OUT018,703.5086364746094
FDC48,OUT027,2285.0631103515625
FDN33,OUT045,1494.1514892578125
FDA36,OUT017,3069.5596923828125
FDT44,OUT017,1948.2240600585938
FDQ56,OUT045,1341.3236083984375
NCC54,OUT019,734.2933502197266
FDU11,OUT049,2050.1150512695312
DRL59,OUT013,807.5200500488281
FDM24,OUT049,2444.633026123047
FDI57,OUT045,3067.1158447265625
DRC12,OUT018,2863.7711181640625
NCM42,OUT027,2755.8366088867188
FDA46,OUT010,522.8022613525391
FDA31,OUT013,2814.2951049804688
NCJ31,OUT035,3951.8473510742188
FDG52,OUT046,751.8603057861328
NCL19,OUT019,331.969970703125
FDS10,OUT035,3137.095458984375
FDX22,OUT010,578.8927917480469
NCF19,OUT035,820.6229705810547
NCE06,OUT046,2517.3425903320312
DRC27,OUT046,3729.3831176757812
FDE21,OUT035,2011.9773254394531
NCR42,OUT019,64.71203708648682
FDX51,OUT018,2860.9192504882812
NCR06,OUT018,586.7862548828125
FDU31,OUT027,5687.2291259765625
FDU59,OUT017,2506.879150390625
FDR03,OUT027,5812.8602294921875
FDS49,OUT027,2303.6607360839844
FDD48,OUT010,335.15427017211914
NCF18,OUT017,3155.2030029296875
NCD43,OUT027,2637.5748901367188
NCD54,OUT018,1800.8333129882812
FDY19,OUT010,320.73222732543945
NCY54,OUT017,2888.7060546875
NCL19,OUT018,2157.127410888672
FDP23,OUT010,502.7415237426758
FDC26,OUT013,1847.6400451660156
FDR14,OUT010,102.60730457305908
NCS41,OUT035,3175.7996215820312
FDF41,OUT035,4000.28173828125
FDU34,OUT046,1983.0767211914062
DRH11,OUT046,960.5647583007812
FDM03,OUT013,1680.3487548828125
FDS31,OUT017,3224.29296875
FDJ20,OUT017,2019.9829711914062
FDV44,OUT027,5271.818603515625
FDG02,OUT049,3191.7731323242188
FDA09,OUT013,3042.1680297851562
FDT04,OUT013,664.3033599853516
FDL58,OUT019,514.2708969116211
FDE52,OUT045,1378.7232055664062
FDW12,OUT035,2549.1520385742188
FDL51,OUT017,3481.5684814453125
NCY42,OUT027,3299.9828491210938
FDR07,OUT017,1374.8943634033203
FDN40,OUT045,2266.712432861328
FDB35,OUT027,2480.993896484375
FDA22,OUT017,2764.5516967773438
NCL06,OUT046,3951.0888671875
FDI35,OUT013,3213.41162109375
NCW42,OUT045,3412.8992919921875
NCX06,OUT049,3090.2814331054688
FDC37,OUT027,2711.34912109375
FDZ14,OUT018,1757.7670593261719
DRG49,OUT049,4153.116516113281
NCG06,OUT045,3726.939453125
DRC36,OUT045,2735.7070922851562
FDV21,OUT019,300.0223693847656
FDB53,OUT046,2451.532928466797
DRP47,OUT019,737.3569869995117
FDA14,OUT013,2463.0740661621094
DRC24,OUT035,2589.083770751953
FDW21,OUT018,1410.5570983886719
NCH29,OUT046,1592.053466796875
FDU58,OUT013,3114.5147094726562
FDY27,OUT017,2918.541259765625
FDV56,OUT035,1841.729736328125
FDT59,OUT046,3974.2181396484375
FDB23,OUT046,3420.684326171875
FDR49,OUT045,738.4286651611328
FDB03,OUT010,677.9664459228516
FDN39,OUT045,2513.0633239746094
FDX02,OUT027,5886.7657470703125
FDQ16,OUT027,2619.3948974609375
FDU35,OUT018,1368.5365600585938
NCT29,OUT013,2028.18701171875
FDZ27,OUT046,762.3965454101562
FDN57,OUT017,2234.632049560547
FDA03,OUT018,2106.2909545898438
FDZ36,OUT045,3032.6366577148438
NCU05,OUT013,1229.2803649902344
FDT39,OUT018,2089.4405212402344
FDK60,OUT017,1553.4492797851562
FDZ25,OUT017,2870.1240234375
FDG12,OUT046,2039.3382263183594
DRB01,OUT019,394.4428482055664
NCC43,OUT027,6401.4967041015625
FDX13,OUT019,746.6476745605469
FDM22,OUT049,850.7039642333984
FDJ03,OUT027,1339.9139709472656
FDU14,OUT018,3618.6891479492188
FDB33,OUT010,455.9939270019531
FDP27,OUT046,3124.5185546875
FDO38,OUT010,264.7636299133301
FDE28,OUT027,6338.1422119140625
FDO27,OUT035,1589.4356994628906
DRL23,OUT027,2643.8252868652344
FDS28,OUT046,875.9887237548828
FDX24,OUT013,1419.64404296875
FDZ02,OUT035,1639.4339599609375
FDL46,OUT045,1733.3084106445312
FDS60,OUT027,4787.828674316406
NCO06,OUT017,645.4384536743164
FDO16,OUT035,1389.7879638671875
FDC60,OUT049,1420.4610900878906
FDA48,OUT018,3227.506591796875
FDZ36,OUT027,4907.043395996094
FDK27,OUT045,1921.5263061523438
FDW23,OUT018,571.0235824584961
FDM14,OUT018,1535.0888977050781
FDM14,OUT013,1707.2966003417969
FDW60,OUT018,2608.0330505371094
FDE21,OUT013,1893.2715759277344
NCM42,OUT035,1755.8358764648438
FDY59,OUT010,243.16099166870117
DRI49,OUT049,1306.4144439697266
FDT28,OUT019,371.85533142089844
FDQ22,OUT018,595.4318466186523
FDR60,OUT049,1275.2350463867188
FDC50,OUT019,266.0393409729004
FDV24,OUT013,2352.0201110839844
DRF48,OUT010,462.31719970703125
FDQ47,OUT046,693.9276123046875
DRN36,OUT049,1558.1432800292969
NCY06,OUT035,2188.5584106445312
FDE52,OUT035,1497.4618225097656
NCB54,OUT045,1964.0143737792969
NCF31,OUT035,2547.7366943359375
FDJ08,OUT027,5194.087890625
NCC07,OUT017,1676.4316101074219
NCD19,OUT027,1627.694580078125
FDL46,OUT049,1912.426513671875
FDM20,OUT045,4278.358642578125
NCI06,OUT010,417.1700210571289
DRM11,OUT035,4627.935791015625
NCH07,OUT018,2308.1129455566406
FDS23,OUT013,1993.5238037109375
FDO49,OUT018,685.7716217041016
FDS35,OUT049,1036.9822082519531
DRK39,OUT045,1273.3819885253906
DRI39,OUT049,905.2687530517578
FDV04,OUT017,2598.693817138672
NCN14,OUT035,3120.2682495117188
FDH08,OUT013,4004.474853515625
FDS20,OUT046,3074.6605834960938
FDV40,OUT049,1211.928695678711
FDZ48,OUT010,314.2066841125488
FDS24,OUT027,2378.195831298828
FDK44,OUT049,2937.6589965820312
FDS48,OUT045,2398.9551696777344
FDK26,OUT010,584.8601989746094
FDD23,OUT045,3072.67919921875
NCH54,OUT017,2743.9527587890625
NCP14,OUT010,309.1261177062988
FDM60,OUT010,45.91563940048218
FDV24,OUT017,2359.2124633789062
FDH08,OUT018,3210.4835205078125
FDS12,OUT027,3325.9172973632812
FDR39,OUT027,5040.659973144531
FDP12,OUT027,1100.3237762451172
DRF60,OUT027,5992.632080078125
FDC09,OUT035,1766.7839050292969
FDF50,OUT018,2900.606201171875
FDG28,OUT035,4164.221130371094
NCE19,OUT017,904.8751525878906
NCM53,OUT010,298.6617546081543
NCN18,OUT049,1841.7822570800781
FDF32,OUT035,3360.8541259765625
FDF11,OUT013,4006.5435180664062
DRI59,OUT049,3873.4378051757812
NCG54,OUT035,2863.1830444335938
FDM44,OUT046,1675.0487365722656
FDT57,OUT018,3390.615234375
FDV24,OUT046,2352.8397521972656
FDI50,OUT019,665.6219329833984
FDS09,OUT035,824.9910430908203
NCC31,OUT027,3758.739501953125
FDQ07,OUT019,572.6258697509766
FDC22,OUT017,3275.97119140625
FDZ56,OUT046,2728.2138671875
FDZ40,OUT019,116.40843200683594
FDS46,OUT027,2995.1533813476562
DRD24,OUT045,2084.863800048828
FDV45,OUT017,3294.6506958007812
FDL26,OUT045,2389.5055236816406
FDA56,OUT018,1809.5581359863281
FDN27,OUT046,1689.5781860351562
FDM20,OUT049,4610.238098144531
FDO16,OUT017,1396.0972595214844
FDL03,OUT035,3222.5145263671875
FDE58,OUT046,1835.096923828125
FDI02,OUT027,2975.218505859375
NCC55,OUT019,29.41265106201172
FDR03,OUT018,3123.014892578125
FDB14,OUT017,1492.22265625
FDR45,OUT013,3970.1112060546875
NCN07,OUT017,2118.771728515625
FDM51,OUT019,264.0915298461914
FDT52,OUT027,6153.0540771484375
FDL26,OUT046,2401.63623046875
NCZ42,OUT046,3712.6052856445312
DRI47,OUT019,373.48887634277344
FDW40,OUT013,2169.5743103027344
FDN34,OUT046,2737.4392700195312
FDS01,OUT035,3058.8587646484375
NCG55,OUT045,1829.7427062988281
FDC11,OUT035,1418.1791381835938
FDX35,OUT018,2954.6047973632812
NCB06,OUT046,2558.7402954101562
FDR09,OUT019,653.8453903198242
FDC53,OUT017,1584.76171875
FDY45,OUT013,4204.186767578125
FDA22,OUT010,485.8575744628906
FDE02,OUT035,1594.0786437988281
FDW21,OUT045,1618.2964172363281
FDV34,OUT046,1168.6018524169922
FDS59,OUT049,1762.5439453125
NCW17,OUT017,2175.7891540527344
NCK54,OUT046,1912.4946899414062
FDG17,OUT019,801.4517669677734
FDG35,OUT017,2884.8441772460938
FDD08,OUT010,34.785638093948364
NCO07,OUT017,3757.4900512695312
FDJ10,OUT010,309.2480010986328
FDW36,OUT017,1699.7723999023438
FDW21,OUT010,286.76246643066406
FDY19,OUT017,1923.4644470214844
DRE03,OUT013,755.0136108398438
NCC55,OUT049,670.0477600097656
FDH52,OUT010,167.82933235168457
FDO09,OUT017,4292.3944091796875
FDU43,OUT045,3612.0169067382812
FDX09,OUT010,383.05237579345703
FDH40,OUT019,252.6563949584961
FDW58,OUT017,1689.4356994628906
FDC47,OUT017,3952.4137573242188
NCR41,OUT035,1597.7341918945312
DRG49,OUT035,4161.853759765625
FDC52,OUT027,3860.0208740234375
FDY13,OUT046,1161.8171691894531
FDY35,OUT013,709.5403594970703
FDI35,OUT017,3389.0048828125
NCU18,OUT049,2283.3046875
FDY33,OUT018,2354.9028930664062
FDC15,OUT027,4066.3336181640625
FDU01,OUT049,3221.7740478515625
NCU42,OUT046,2724.4819946289062
NCV29,OUT018,2538.161865234375
NCY30,OUT017,3279.2081909179688
FDQ46,OUT049,1911.671630859375
FDG58,OUT027,3897.22021484375
FDK33,OUT017,3620.4844360351562
NCD07,OUT045,1811.9479370117188
NCX29,OUT027,3819.2305297851562
NCT42,OUT013,2408.725311279297
DRN59,OUT035,779.274658203125
FDI44,OUT035,1347.8882141113281
FDA45,OUT049,2616.6593627929688
FDP31,OUT045,851.8412475585938
FDY01,OUT046,1861.080322265625
FDT09,OUT018,1787.9951782226562
DRH03,OUT027,2532.468017578125
FDA36,OUT018,2577.3353271484375
NCF31,OUT017,2501.372833251953
FDG14,OUT049,2530.010711669922
FDG28,OUT027,6131.1356201171875
FDU14,OUT049,4265.663391113281
FDY47,OUT019,313.83650970458984
FDI56,OUT049,1470.1635131835938
DRD01,OUT013,848.0019989013672
FDM22,OUT046,896.4477081298828
FDH33,OUT013,686.5617065429688
DRZ24,OUT013,2047.9018249511719
NCQ38,OUT046,1642.9703369140625
FDO16,OUT027,2219.211883544922
FDU07,OUT027,3852.300048828125
NCB07,OUT013,3008.4935913085938
FDU48,OUT045,1907.75830078125
NCM43,OUT045,2552.7889709472656
FDR31,OUT010,330.6675033569336
DRK49,OUT018,592.7034072875977
NCI30,OUT010,599.6797027587891
DRD60,OUT017,3192.9276733398438
NCG19,OUT046,3620.6187744140625
FDH12,OUT035,1769.9910888671875
FDM32,OUT035,1564.4024047851562
FDM27,OUT035,2615.4911499023438
NCU53,OUT027,3896.1065063476562
NCQ18,OUT046,1585.8372192382812
FDS10,OUT013,2863.8030395507812
FDB33,OUT027,4091.2737426757812
FDI12,OUT013,1371.9317016601562
NCW42,OUT013,3578.5037231445312
NCC06,OUT018,1735.3588562011719
FDW02,OUT017,2168.3876342773438
NCD43,OUT017,1763.9921875
FDM57,OUT018,1086.8114471435547
FDA58,OUT017,3789.3333129882812
FDK56,OUT046,3081.8458251953125
FDP52,OUT045,3696.2507934570312
FDW20,OUT018,1759.6300048828125
FDS52,OUT049,1697.2817077636719
NCT29,OUT018,1669.0853576660156
NCL54,OUT013,2907.7833251953125
FDC05,OUT045,3003.088623046875
FDF34,OUT035,3218.6154174804688
FDP03,OUT027,3158.26123046875
FDD32,OUT010,291.1599578857422
FDZ10,OUT045,1992.0853881835938
FDZ40,OUT035,922.8482208251953
FDD51,OUT018,570.084342956543
NCY30,OUT019,432.5255661010742
FDP58,OUT017,3589.8841552734375
FDV49,OUT017,4352.552917480469
FDY24,OUT019,162.99373531341553
NCO55,OUT017,1718.7668151855469
FDR13,OUT017,1958.6560363769531
FDS51,OUT017,995.13671875
FDP26,OUT045,1626.5830688476562
NCB54,OUT027,3250.5011596679688
FDF32,OUT017,3284.8635864257812
FDN31,OUT018,2805.1878051757812
DRM48,OUT017,675.9280242919922
FDN20,OUT049,2782.97900390625
DRL01,OUT046,3731.6911010742188
FDV56,OUT049,1753.6687316894531
DRH13,OUT027,2775.4501953125
FDA03,OUT017,2486.2166442871094
FDF47,OUT027,5814.1591796875
FDX32,OUT046,2463.1227416992188
FDX57,OUT049,1573.7099304199219
NCA30,OUT045,2875.2101440429688
FDO49,OUT013,755.1012573242188
FDL04,OUT019,284.3529624938965
DRM48,OUT035,689.9519805908203
FDR16,OUT013,3694.8555908203125
NCC19,OUT018,2758.0503540039062
NCE42,OUT045,3424.5450439453125
FDY24,OUT017,1004.5337982177734
FDH19,OUT049,2882.6585083007812
FDJ46,OUT013,2846.8770141601562
FDN45,OUT010,520.5485076904297
FDY08,OUT035,2374.175079345703
FDZ37,OUT035,1477.5541076660156
NCT30,OUT045,736.9904632568359
DRY23,OUT018,583.0501937866211
NCZ30,OUT018,1759.0333251953125
FDC44,OUT018,1630.498046875
FDB45,OUT035,1643.2079772949219
FDY04,OUT013,2605.0100708007812
FDM27,OUT046,2600.1626586914062
FDZ43,OUT017,3962.4924926757812
FDT39,OUT019,342.7995376586914
NCC06,OUT019,311.06003189086914
FDL15,OUT027,3853.4391479492188
FDL57,OUT017,4340.560729980469
FDU08,OUT046,1600.2097778320312
FDK40,OUT017,4516.692932128906
FDQ12,OUT010,684.990608215332
FDS48,OUT017,2492.233367919922
FDP09,OUT045,3227.6140747070312
FDW21,OUT049,1664.8753662109375
FDY25,OUT035,3237.5977172851562
DRE13,OUT017,1353.2731628417969
FDV43,OUT019,52.06279182434082
FDD22,OUT045,1744.1071472167969
FDM46,OUT019,250.05176544189453
NCO30,OUT010,478.9388427734375
FDM25,OUT046,2742.1029052734375
NCN41,OUT049,2062.3025817871094
FDU24,OUT045,1486.5530090332031
FDZ50,OUT046,3101.4741821289062
FDP45,OUT013,4108.9049072265625
NCM54,OUT045,1940.5808410644531
FDW10,OUT019,284.7406120300293
FDP20,OUT017,2102.212860107422
FDK32,OUT046,2464.64892578125
FDN52,OUT049,1419.8013000488281
FDM58,OUT045,1732.0512390136719
FDZ46,OUT027,2964.4896850585938
NCA18,OUT018,1614.5560913085938
FDD35,OUT046,2124.838165283203
NCK31,OUT035,803.9871368408203
FDI40,OUT027,2699.0743408203125
FDT50,OUT019,278.5761909484863
NCT06,OUT046,2612.5335693359375
FDT31,OUT035,3198.9873046875
FDT45,OUT049,859.8685455322266
FDT13,OUT045,3076.3382568359375
FDO50,OUT045,1367.676025390625
NCU18,OUT010,324.94524002075195
NCR54,OUT049,3253.2224731445312
NCO18,OUT018,2593.8430786132812
FDU09,OUT045,860.6338348388672
FDT13,OUT018,2869.880126953125
FDE09,OUT046,1838.6732788085938
NCK53,OUT019,271.2454528808594
FDG45,OUT049,3662.3621826171875
DRH15,OUT035,727.6344909667969
FDO21,OUT019,504.5838165283203
FDD14,OUT027,5276.9683837890625
FDC09,OUT046,1670.7183227539062
FDH45,OUT027,1179.4264373779297
FDV32,OUT046,1043.0003051757812
FDG12,OUT035,2006.8710327148438
FDS32,OUT013,2167.4900817871094
NCL55,OUT018,3410.8574829101562
DRE01,OUT035,4068.5833129882812
DRE15,OUT049,1248.3833923339844
NCL42,OUT045,3650.7298583984375
FDP31,OUT013,881.9451293945312
FDN33,OUT018,1318.3805694580078
FDZ59,OUT046,2642.1460571289062
FDE45,OUT010,447.53131103515625
FDJ07,OUT013,1887.1970520019531
FDQ45,OUT018,2600.432403564453
FDM33,OUT027,5691.2080078125
FDO15,OUT010,243.8574676513672
FDM46,OUT013,1529.2298278808594
FDR03,OUT045,3341.37841796875
FDY49,OUT018,2430.3446655273438
FDQ60,OUT045,1807.4047546386719
FDW10,OUT049,2664.4298095703125
FDO51,OUT049,700.0931091308594
FDJ40,OUT018,1454.1220092773438
FDS20,OUT018,2782.7525024414062
FDU45,OUT013,1876.3300476074219
FDV02,OUT035,2868.4859619140625
FDN09,OUT046,3792.0780029296875
NCM55,OUT027,5247.3331298828125
FDN23,OUT018,2140.7615356445312
FDY31,OUT010,296.545955657959
FDW03,OUT010,304.60348892211914
FDD14,OUT046,2993.7703247070312
FDV23,OUT017,2117.2426147460938
DRI03,OUT045,2747.2291870117188
FDN13,OUT035,1613.4415588378906
FDF45,OUT027,1772.65771484375
FDU46,OUT035,1452.6939697265625
FDB57,OUT049,3808.2199096679688
