Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1625.4988098144531
FDW14,OUT017,1410.6506958007812
NCN55,OUT010,648.9324035644531
FDQ58,OUT017,2529.9301147460938
FDY38,OUT027,6081.4632568359375
FDH56,OUT046,1918.7767944335938
FDL48,OUT018,608.7963790893555
FDC48,OUT027,2298.6072692871094
FDN33,OUT045,1494.731689453125
FDA36,OUT017,2936.3756103515625
FDT44,OUT017,1924.4057312011719
FDQ56,OUT045,1368.495361328125
NCC54,OUT019,653.6047515869141
FDU11,OUT049,2029.6763916015625
DRL59,OUT013,824.5773620605469
FDM24,OUT049,2433.2354431152344
FDI57,OUT045,3219.5944213867188
DRC12,OUT018,2923.4268798828125
NCM42,OUT027,2782.0503540039062
FDA46,OUT010,524.2590255737305
FDA31,OUT013,2816.366943359375
NCJ31,OUT035,3905.9463500976562
FDG52,OUT046,764.4568786621094
NCL19,OUT019,378.91947174072266
FDS10,OUT035,3065.8588256835938
FDX22,OUT010,614.6539459228516
NCF19,OUT035,829.7939605712891
NCE06,OUT046,2530.7571716308594
DRC27,OUT046,3817.1620483398438
FDE21,OUT035,1977.4835205078125
NCR42,OUT019,9.904680490493774
FDX51,OUT018,2890.3501586914062
NCR06,OUT018,490.2075881958008
FDU31,OUT027,5663.800048828125
FDU59,OUT017,2503.9132690429688
FDR03,OUT027,5707.35986328125
FDS49,OUT027,2339.4064331054688
FDD48,OUT010,340.49000549316406
NCF18,OUT017,3144.2725830078125
NCD43,OUT027,2626.6581420898438
NCD54,OUT018,1895.5013732910156
FDY19,OUT010,318.59971618652344
NCY54,OUT017,2864.5977172851562
NCL19,OUT018,2214.6489868164062
FDP23,OUT010,489.7741165161133
FDC26,OUT013,1842.0219421386719
FDR14,OUT010,138.36416244506836
NCS41,OUT035,3122.7993774414062
FDF41,OUT035,3890.1649169921875
FDU34,OUT046,1986.0282287597656
DRH11,OUT046,1022.4466247558594
FDM03,OUT013,1663.4172058105469
FDS31,OUT017,3155.1781005859375
FDJ20,OUT017,2000.1264038085938
FDV44,OUT027,5228.23974609375
FDG02,OUT049,3081.7752075195312
FDA09,OUT013,3044.27880859375
FDT04,OUT013,672.7338714599609
FDL58,OUT019,425.82311630249023
FDE52,OUT045,1397.0382995605469
FDW12,OUT035,2480.7944946289062
FDL51,OUT017,3450.5070190429688
NCY42,OUT027,3339.679443359375
FDR07,OUT017,1401.374267578125
FDN40,OUT045,2301.928253173828
FDB35,OUT027,2502.410369873047
FDA22,OUT017,2798.3582763671875
NCL06,OUT046,4045.4470825195312
FDI35,OUT013,3205.2482299804688
NCW42,OUT045,3514.2538452148438
NCX06,OUT049,2975.4102783203125
FDC37,OUT027,2696.4257202148438
FDZ14,OUT018,1770.3664855957031
DRG49,OUT049,4001.6910400390625
NCG06,OUT045,3811.1553955078125
DRC36,OUT045,2835.24169921875
FDV21,OUT019,316.5320014953613
FDB53,OUT046,2467.1419677734375
DRP47,OUT019,695.9924621582031
FDA14,OUT013,2462.1473388671875
DRC24,OUT035,2529.6038208007812
FDW21,OUT018,1439.0610046386719
NCH29,OUT046,1576.197998046875
FDU58,OUT013,3150.8153686523438
FDY27,OUT017,2868.8756103515625
FDV56,OUT035,1796.0342712402344
FDT59,OUT046,4053.173095703125
FDB23,OUT046,3482.9818725585938
FDR49,OUT045,744.0892486572266
FDB03,OUT010,626.8210067749023
