Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1565.3990783691406
FDW14,OUT017,1435.2681884765625
NCN55,OUT010,691.2085876464844
FDQ58,OUT017,2506.8163452148438
FDY38,OUT027,6133.591064453125
FDH56,OUT046,1905.4081115722656
FDL48,OUT018,620.8788909912109
FDC48,OUT027,2382.157196044922
FDN33,OUT045,1490.647216796875
FDA36,OUT017,3062.16015625
FDT44,OUT017,1904.3072509765625
FDQ56,OUT045,1375.9515686035156
NCC54,OUT019,660.085578918457
FDU11,OUT049,2036.2568664550781
DRL59,OUT013,826.5851287841797
FDM24,OUT049,2456.3885498046875
FDI57,OUT045,3179.4810791015625
DRC12,OUT018,2779.4363403320312
NCM42,OUT027,2780.8596801757812
FDA46,OUT010,575.2218246459961
FDA31,OUT013,2850.4727172851562
NCJ31,OUT035,3890.8224487304688
FDG52,OUT046,768.0045776367188
NCL19,OUT019,399.7748794555664
FDS10,OUT035,3142.1242065429688
FDX22,OUT010,672.4777069091797
NCF19,OUT035,845.1829986572266
NCE06,OUT046,2476.8078002929688
DRC27,OUT046,3787.6328125
FDE21,OUT035,2108.255889892578
NCR42,OUT019,0.0
FDX51,OUT018,2771.7608032226562
NCR06,OUT018,490.27711486816406
FDU31,OUT027,5600.683349609375
FDU59,OUT017,2530.5819396972656
FDR03,OUT027,5505.868896484375
FDS49,OUT027,2402.7222290039062
FDD48,OUT010,342.55013275146484
NCF18,OUT017,3162.0833740234375
NCD43,OUT027,2823.8600463867188
NCD54,OUT018,1874.5244445800781
FDY19,OUT010,363.1443634033203
NCY54,OUT017,2842.7562866210938
NCL19,OUT018,2197.550018310547
FDP23,OUT010,560.4354095458984
FDC26,OUT013,1849.4374389648438
FDR14,OUT010,81.35006332397461
NCS41,OUT035,3270.8355712890625
FDF41,OUT035,3943.71240234375
FDU34,OUT046,1959.8230590820312
DRH11,OUT046,978.7159118652344
FDM03,OUT013,1666.3237915039062
FDS31,OUT017,3179.69482421875
FDJ20,OUT017,1976.9325561523438
FDV44,OUT027,5243.4853515625
FDG02,OUT049,3186.7972412109375
FDA09,OUT013,3066.3258666992188
FDT04,OUT013,668.2594757080078
FDL58,OUT019,398.8252143859863
FDE52,OUT045,1421.2791442871094
FDW12,OUT035,2506.98486328125
FDL51,OUT017,3470.4772338867188
NCY42,OUT027,3303.512939453125
FDR07,OUT017,1441.6587829589844
FDN40,OUT045,2252.9530334472656
FDB35,OUT027,2425.806640625
FDA22,OUT017,2746.0475463867188
NCL06,OUT046,3977.46142578125
FDI35,OUT013,3210.8098754882812
NCW42,OUT045,3523.2000122070312
NCX06,OUT049,3073.9518432617188
FDC37,OUT027,2624.335723876953
FDZ14,OUT018,1835.2269287109375
DRG49,OUT049,4162.118469238281
NCG06,OUT045,3718.2278442382812
DRC36,OUT045,2838.4352416992188
FDV21,OUT019,340.9916305541992
FDB53,OUT046,2490.0506591796875
DRP47,OUT019,680.5214538574219
FDA14,OUT013,2459.230010986328
DRC24,OUT035,2565.1150817871094
FDW21,OUT018,1425.848388671875
NCH29,OUT046,1580.8520202636719
FDU58,OUT013,3152.7574462890625
FDY27,OUT017,2896.5553588867188
FDV56,OUT035,1786.3213806152344
FDT59,OUT046,4011.1640014648438
FDB23,OUT046,3553.7288208007812
FDR49,OUT045,729.3833160400391
FDB03,OUT010,655.3321914672852
FDN39,OUT045,2558.713134765625
FDX02,OUT027,5820.7664794921875
FDQ16,OUT027,2546.9021606445312
FDU35,OUT018,1412.7249145507812
NCT29,OUT013,2040.7172241210938
FDZ27,OUT046,796.0077667236328
FDN57,OUT017,2126.17822265625
FDA03,OUT018,2140.4932250976562
FDZ36,OUT045,3049.8836059570312
NCU05,OUT013,1189.2404174804688
FDT39,OUT018,2080.0753173828125
FDK60,OUT017,1534.3860168457031
FDZ25,OUT017,2844.15673828125
FDG12,OUT046,2010.2540283203125
DRB01,OUT019,420.4646644592285
NCC43,OUT027,6322.66162109375
FDX13,OUT019,784.0674591064453
FDM22,OUT049,865.1122894287109
FDJ03,OUT027,1361.4211730957031
FDU14,OUT018,3723.01806640625
FDB33,OUT010,497.1106262207031
FDP27,OUT046,3156.0507202148438
FDO38,OUT010,269.51133728027344
FDE28,OUT027,6060.7650146484375
FDO27,OUT035,1600.1917114257812
DRL23,OUT027,2578.6908569335938
FDS28,OUT046,900.5949096679688
FDX24,OUT013,1465.7522888183594
FDZ02,OUT035,1634.0957641601562
