Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.177191265679
FDW14,OUT017,1366.4510398596724
NCN55,OUT010,591.6151276167834
FDQ58,OUT017,2522.4618572525496
FDY38,OUT027,6211.682863660828
FDH56,OUT046,1938.0751768077062
FDL48,OUT018,749.3516661462
FDC48,OUT027,2165.9561619879696
FDN33,OUT045,1523.868415849961
FDA36,OUT017,3145.84427970303
FDT44,OUT017,1952.3566889722028
FDQ56,OUT045,1363.5261230915658
NCC54,OUT019,585.4624619598821
FDU11,OUT049,2038.137179763637
DRL59,OUT013,788.2613713932419
FDM24,OUT049,2464.78921649726
FDI57,OUT045,3013.055437489913
DRC12,OUT018,2877.0122632451985
NCM42,OUT027,2939.48290723276
FDA46,OUT010,484.4942451483572
FDA31,OUT013,2850.7867303569697
NCJ31,OUT035,3949.6386843871514
FDG52,OUT046,755.2869656300339
NCL19,OUT019,306.37919984474416
FDS10,OUT035,3020.8439507442044
FDX22,OUT010,551.8024658454374
NCF19,OUT035,754.5437803521055
NCE06,OUT046,2554.1331534125634
DRC27,OUT046,3940.24068990098
FDE21,OUT035,1918.4388032900083
NCR42,OUT019,99.73810772566246
FDX51,OUT018,2899.0036672837487
NCR06,OUT018,615.88538065317
FDU31,OUT027,5616.185790715174
FDU59,OUT017,2636.6255197478035
FDR03,OUT027,5602.9777848195345
FDS49,OUT027,2119.778198389717
FDD48,OUT010,260.35667302817956
NCF18,OUT017,3080.641133274397
NCD43,OUT027,2623.2145879068303
NCD54,OUT018,1999.2446713024785
FDY19,OUT010,261.0728894462563
NCY54,OUT017,2867.043749446357
NCL19,OUT018,2363.9358442022226
FDP23,OUT010,561.7375442188487
FDC26,OUT013,1754.774989702565
FDR14,OUT010,158.4243251611154
NCS41,OUT035,3202.1452860687814
FDF41,OUT035,3918.9382920513804
FDU34,OUT046,2071.340840154576
DRH11,OUT046,863.8550499495931
FDM03,OUT013,1654.332905148772
FDS31,OUT017,3118.59080701029
FDJ20,OUT017,2029.2644672232304
FDV44,OUT027,5217.236443564097
FDG02,OUT049,3134.224417658666
FDA09,OUT013,3048.076482132415
FDT04,OUT013,610.9293912716531
FDL58,OUT019,590.0186577336673
FDE52,OUT045,1388.3900993533412
FDW12,OUT035,2484.624084394889
FDL51,OUT017,3591.1221363886852
NCY42,OUT027,3364.192498300498
FDR07,OUT017,1536.1544224110155
FDN40,OUT045,2515.250932710031
FDB35,OUT027,2486.032541860029
FDA22,OUT017,2558.5720794976864
NCL06,OUT046,4185.97427672665
FDI35,OUT013,3084.178921468255
NCW42,OUT045,3702.4587740406646
NCX06,OUT049,3017.8090107967823
FDC37,OUT027,2641.784449737608
FDZ14,OUT018,1915.5104574379618
DRG49,OUT049,3964.965148186938
NCG06,OUT045,4134.858513500711
DRC36,OUT045,2892.013011508304
FDV21,OUT019,294.63120792715296
FDB53,OUT046,2504.0530220305927
DRP47,OUT019,587.3403003709772
FDA14,OUT013,2488.652912799046
DRC24,OUT035,2514.927379847982
FDW21,OUT018,1602.2091974823416
NCH29,OUT046,1560.37988995161
FDU58,OUT013,3118.65850852292
FDY27,OUT017,2978.2693742835486
FDV56,OUT035,1665.4356256283888
FDT59,OUT046,3864.563047844601
FDB23,OUT046,3739.141524076342
FDR49,OUT045,748.7295274218425
FDB03,OUT010,591.1865266178169
FDN39,OUT045,2646.1297153862897
FDX02,OUT027,5892.458561524989
FDQ16,OUT027,2629.681304834999
FDU35,OUT018,1547.3719581276405
NCT29,OUT013,2046.2873059075403
FDZ27,OUT046,757.2463172062076
FDN57,OUT017,2080.8622071692744
FDA03,OUT018,2370.357205002692
FDZ36,OUT045,3191.220909591821
NCU05,OUT013,1300.8540847157456
FDT39,OUT018,2305.699955712223
FDK60,OUT017,1536.4354790073044
FDZ25,OUT017,2848.6431462410483
FDG12,OUT046,2055.1913323088766
DRB01,OUT019,486.44721864044334
NCC43,OUT027,6188.451260264264
FDX13,OUT019,590.0186577336673
FDM22,OUT049,847.5104912083735
FDJ03,OUT027,1231.2500088730594
FDU14,OUT018,3575.5387279710276
FDB33,OUT010,374.94073585671634
FDP27,OUT046,3146.03969480771
FDO38,OUT010,176.91779101772613
FDE28,OUT027,6177.021925146732
FDO27,OUT035,1535.3261448122703
DRL23,OUT027,2627.0552469058466
FDS28,OUT046,863.8533920405046
FDX24,OUT013,1464.4288629247558
FDZ02,OUT035,1539.9900420150311
FDL46,OUT045,1914.7973694605234
FDS60,OUT027,4835.69833672832
NCO06,OUT017,626.0770752866265
FDO16,OUT035,1365.820491624228
FDC60,OUT049,1382.8910223117823
FDA48,OUT018,3307.8794376076953
FDZ36,OUT027,5210.327499163465
FDK27,OUT045,2023.92922688684
FDW23,OUT018,604.5912018003095
FDM14,OUT018,1658.8480962394922
FDM14,OUT013,1656.9271541704893
FDW60,OUT018,2817.1706856720307
FDE21,OUT013,1931.8844919318549
NCM42,OUT035,1679.4403834302823
FDY59,OUT010,217.421438786571
DRI49,OUT049,1296.3169649958263
FDT28,OUT019,343.31376647154906
FDQ22,OUT018,604.0103130839655
FDR60,OUT049,1257.7416929022975
FDC50,OUT019,234.28737648433466
FDV24,OUT013,2417.6733096214957
DRF48,OUT010,497.5581801531629
FDQ47,OUT046,602.2646173923257
DRN36,OUT049,1545.3805125874908
NCY06,OUT035,2049.3590880023007
FDE52,OUT035,1386.4079159682292
NCB54,OUT045,2035.4882455972815
NCF31,OUT035,2486.7749364696374
FDJ08,OUT027,5239.4064901232505
NCC07,OUT017,1646.1926226655596
NCD19,OUT027,1421.3981222745856
FDL46,OUT049,1991.6620521284367
FDM20,OUT045,3916.600441584325
NCI06,OUT010,460.41237152149705
DRM11,OUT035,4183.015898327943
NCH07,OUT018,2428.511508580972
FDS23,OUT013,2067.2140638310966
FDO49,OUT018,747.7363931370911
FDS35,OUT049,1031.7658924187667
DRK39,OUT045,1346.3541090254816
DRI39,OUT049,856.3613742588826
FDV04,OUT017,2541.0963208880294
NCN14,OUT035,3154.6011340560135
FDH08,OUT013,3883.577440490538
FDS20,OUT046,3184.6493222972754
FDV40,OUT049,1152.6516123697465
FDZ48,OUT010,246.8752484422006
FDS24,OUT027,2395.3571692636506
FDK44,OUT049,2843.827939040415
FDS48,OUT045,2534.2532407619465
FDK26,OUT010,497.8982852789005
FDD23,OUT045,3143.9020333652215
NCH54,OUT017,2597.6787387800077
NCP14,OUT010,229.21958090554028
FDM60,OUT010,99.73810772566246
FDV24,OUT017,2450.0438240727826
FDH08,OUT018,3361.1638978685355
FDS12,OUT027,3317.0304770550783
FDR39,OUT027,4967.822574824616
FDP12,OUT027,1222.4594160388092
DRF60,OUT027,6197.8982489735645
FDC09,OUT035,1645.2706982947193
FDF50,OUT018,2933.9525966761094
FDG28,OUT035,4011.154385299831
NCE19,OUT017,860.006695872185
NCM53,OUT010,238.82621023208225
NCN18,OUT049,1736.0061254568677
FDF32,OUT035,3059.507687444865
FDF11,OUT013,3952.955262158334
DRI59,OUT049,3799.3122946227213
NCG54,OUT035,2790.1339750328852
FDM44,OUT046,1639.0608005003455
FDT57,OUT018,3396.360715856571
FDV24,OUT046,2453.924048725574
FDI50,OUT019,588.5270267197234
FDS09,OUT035,777.184949911887
NCC31,OUT027,3926.138384194025
FDQ07,OUT019,566.6593627229722
FDC22,OUT017,3163.274211192998
FDZ56,OUT046,2767.7309681214924
FDZ40,OUT019,157.70072390655767
FDS46,OUT027,3175.365908639195
DRD24,OUT045,2090.6157195187398
FDV45,OUT017,3107.618919127859
FDL26,OUT045,2529.024650182822
FDA56,OUT018,1912.1681586420445
FDN27,OUT046,1966.8719685922001
FDM20,OUT049,3949.6761534471716
FDO16,OUT017,1340.5200253068854
FDL03,OUT035,3043.050806183098
FDE58,OUT046,1952.9240597344206
FDI02,OUT027,3140.0994729798686
NCC55,OUT019,99.73810772566246
FDR03,OUT018,3137.962212670367
FDB14,OUT017,1445.5256251090732
FDR45,OUT013,3961.1014315777898
NCN07,OUT017,2060.37889359458
FDM51,OUT019,249.83806537056677
FDT52,OUT027,6195.353237843532
FDL26,OUT046,2513.319548373234
NCZ42,OUT046,3947.677360675605
DRI47,OUT019,347.1105247746417
FDW40,OUT013,2113.5350860959193
FDN34,OUT046,2824.3221988246205
FDS01,OUT035,2966.845790794754
NCG55,OUT045,1922.179995631665
FDC11,OUT035,1350.425611320678
FDX35,OUT018,3336.949973127073
NCB06,OUT046,2598.5938362165803
FDR09,OUT019,585.222263305631
FDC53,OUT017,1547.306263501602
FDY45,OUT013,4136.478745962984
FDA22,OUT010,401.3281436433082
FDE02,OUT035,1525.102604730959
FDW21,OUT045,1640.5680383269091
FDV34,OUT046,1159.303087016411
FDS59,OUT049,1672.0053625618152
NCW17,OUT017,2047.9434849347722
NCK54,OUT046,1953.5464651281225
FDG17,OUT019,590.3354298100174
FDG35,OUT017,2886.073135228442
FDD08,OUT010,99.74880907055716
NCO07,OUT017,3682.5411833008284
FDJ10,OUT010,291.1661607696059
FDW36,OUT017,1645.480483303591
FDW21,OUT010,226.5528327585493
FDY19,OUT017,1939.7783190975165
DRE03,OUT013,749.8999725484728
NCC55,OUT049,617.792232282267
FDH52,OUT010,163.92173247284654
FDO09,OUT017,4157.590306712161
FDU43,OUT045,3908.0190925499323
FDX09,OUT010,445.3804077960675
FDH40,OUT019,213.2843792411287
FDW58,OUT017,1638.7853447090802
FDC47,OUT017,3866.4953606915533
NCR41,OUT035,1489.981224497067
DRG49,OUT035,3979.5615118385044
FDC52,OUT027,3908.8707510417203
FDY13,OUT046,1166.5598593110801
FDY35,OUT013,632.7195410169381
FDI35,OUT017,3156.780005182381
NCU18,OUT049,2130.5536282592184
FDY33,OUT018,2434.440440940601
FDC15,OUT027,4035.15015088092
FDU01,OUT049,3097.994069799621
NCU42,OUT046,2787.0958363962627
NCV29,OUT018,2771.652082524407
NCY30,OUT017,3103.5932471457136
FDQ46,OUT049,1758.7950587438136
FDG58,OUT027,3930.779650315123
FDK33,OUT017,3626.4723050710013
NCD07,OUT045,1909.1619198165035
NCX29,OUT027,3856.404178692757
NCT42,OUT013,2428.567543162199
DRN59,OUT035,746.2749301658225
FDI44,OUT035,1274.6788628446488
FDA45,OUT049,2943.14231855034
FDP31,OUT045,1048.3091905128686
FDY01,OUT046,1945.252922803566
FDT09,OUT018,1924.355531891283
DRH03,OUT027,2558.0581108826545
FDA36,OUT018,2890.748417012269
NCF31,OUT017,2484.6002757321353
FDG14,OUT049,2522.44706946425
FDG28,OUT027,6198.326800326447
FDU14,OUT049,4055.422036138318
