Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1678.022437953977
FDW14,OUT017,1436.7052145942957
NCN55,OUT010,662.052699286073
FDQ58,OUT017,2499.8248489680327
FDY38,OUT027,5889.086031770238
FDH56,OUT046,1910.7857456037827
FDL48,OUT018,609.6217067475983
FDC48,OUT027,2262.692677142526
FDN33,OUT045,1498.140112592572
FDA36,OUT017,2962.2016506398286
FDT44,OUT017,1906.822315783967
FDQ56,OUT045,1384.3237588365155
NCC54,OUT019,607.8771933980162
FDU11,OUT049,2050.0277482065726
DRL59,OUT013,774.606531983949
FDM24,OUT049,2457.566627634418
FDI57,OUT045,3126.692481794976
DRC12,OUT018,2895.955687860625
NCM42,OUT027,2671.351082605307
FDA46,OUT010,517.3030104779898
FDA31,OUT013,2863.366540555225
NCJ31,OUT035,3939.0627419832836
FDG52,OUT046,731.7841369318567
NCL19,OUT019,381.3148188373825
FDS10,OUT035,3074.9086356383787
FDX22,OUT010,592.9169455113979
NCF19,OUT035,829.0988360371955
NCE06,OUT046,2505.117120164872
DRC27,OUT046,3811.1241261462756
FDE21,OUT035,1992.6207875284958
NCR42,OUT019,5.3549332203761875
FDX51,OUT018,2842.6758178950836
NCR06,OUT018,480.74001155343353
FDU31,OUT027,5662.768126701372
FDU59,OUT017,2505.313091261113
FDR03,OUT027,5620.6625245893165
FDS49,OUT027,2285.766512696745
FDD48,OUT010,271.6245808275431
NCF18,OUT017,3129.1680641780094
NCD43,OUT027,2590.623964039356
NCD54,OUT018,1932.3107517880042
FDY19,OUT010,256.55526681929763
NCY54,OUT017,2890.4131733147806
NCL19,OUT018,2188.9976700147195
FDP23,OUT010,573.2263373195264
FDC26,OUT013,1877.9738936423075
FDR14,OUT010,100.87956339227443
NCS41,OUT035,3082.6923977667807
FDF41,OUT035,3959.17716553621
FDU34,OUT046,1957.8752878588853
DRH11,OUT046,1009.1627320474022
FDM03,OUT013,1714.0382464182144
FDS31,OUT017,3118.3403942918935
FDJ20,OUT017,2006.4831080533434
FDV44,OUT027,5137.332883171457
FDG02,OUT049,3069.2147469270913
FDA09,OUT013,3046.069015072199
FDT04,OUT013,633.7611436167522
FDL58,OUT019,282.5327370315907
FDE52,OUT045,1409.5039573093254
FDW12,OUT035,2469.331494789741
FDL51,OUT017,3574.885382205903
NCY42,OUT027,3338.6534366611995
FDR07,OUT017,1439.07427588153
