Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1614.4729309082031
FDW14,OUT017,1407.3114013671875
NCN55,OUT010,609.145378112793
FDQ58,OUT017,2525.7230529785156
FDY38,OUT027,6096.685302734375
FDH56,OUT046,1897.0575561523438
FDL48,OUT018,597.3124160766602
FDC48,OUT027,2312.8868103027344
FDN33,OUT045,1483.5694580078125
FDA36,OUT017,3038.7262573242188
FDT44,OUT017,1918.0580749511719
FDQ56,OUT045,1320.4378356933594
NCC54,OUT019,621.3146057128906
FDU11,OUT049,2083.5
DRL59,OUT013,832.7492828369141
FDM24,OUT049,2454.3504638671875
FDI57,OUT045,3033.5942993164062
DRC12,OUT018,2888.5280151367188
NCM42,OUT027,2786.8248901367188
FDA46,OUT010,545.0856628417969
FDA31,OUT013,2805.29638671875
NCJ31,OUT035,3914.5758056640625
FDG52,OUT046,775.8126373291016
NCL19,OUT019,370.63824462890625
FDS10,OUT035,3099.50732421875
FDX22,OUT010,659.110595703125
NCF19,OUT035,849.7169647216797
NCE06,OUT046,2504.8204040527344
DRC27,OUT046,3810.6477661132812
FDE21,OUT035,2002.2758483886719
NCR42,OUT019,14.592805862426758
FDX51,OUT018,2875.0208129882812
NCR06,OUT018,500.72703552246094
FDU31,OUT027,5636.024169921875
FDU59,OUT017,2494.476287841797
FDR03,OUT027,5673.3968505859375
FDS49,OUT027,2339.1698303222656
FDD48,OUT010,344.5208435058594
NCF18,OUT017,3131.576416015625
NCD43,OUT027,2647.2384033203125
NCD54,OUT018,1887.8988952636719
FDY19,OUT010,313.199161529541
NCY54,OUT017,2843.1755981445312
NCL19,OUT018,2206.1177673339844
FDP23,OUT010,505.71439361572266
FDC26,OUT013,1847.9411315917969
FDR14,OUT010,139.93427276611328
NCS41,OUT035,3169.1256103515625
FDF41,OUT035,3934.521484375
FDU34,OUT046,2001.6985168457031
DRH11,OUT046,975.4887542724609
FDM03,OUT013,1663.0629577636719
FDS31,OUT017,3178.1072998046875
FDJ20,OUT017,1991.456298828125
FDV44,OUT027,5199.224304199219
FDG02,OUT049,3152.8153076171875
FDA09,OUT013,3018.0343627929688
FDT04,OUT013,678.1579437255859
FDL58,OUT019,503.71510314941406
FDE52,OUT045,1392.2825622558594
FDW12,OUT035,2494.3916015625
FDL51,OUT017,3488.8341064453125
NCY42,OUT027,3282.5487060546875
FDR07,OUT017,1425.2631530761719
FDN40,OUT045,2277.8472290039062
FDB35,OUT027,2532.7748107910156
FDA22,OUT017,2655.8533935546875
NCL06,OUT046,4054.7611083984375
FDI35,OUT013,3139.9507446289062
NCW42,OUT045,3472.9750366210938
NCX06,OUT049,3015.1681518554688
FDC37,OUT027,2742.7286376953125
FDZ14,OUT018,1782.60009765625
DRG49,OUT049,3982.918212890625
NCG06,OUT045,3855.975830078125
DRC36,OUT045,2796.6419067382812
FDV21,OUT019,313.3968162536621
FDB53,OUT046,2474.5474548339844
DRP47,OUT019,669.2115936279297
FDA14,OUT013,2454.573455810547
DRC24,OUT035,2604.4837036132812
FDW21,OUT018,1430.4249572753906
NCH29,OUT046,1588.0439453125
FDU58,OUT013,3135.5556640625
FDY27,OUT017,2860.0263061523438
FDV56,OUT035,1807.5191345214844
FDT59,OUT046,4026.434814453125
FDB23,OUT046,3454.6824951171875
FDR49,OUT045,742.6308441162109
FDB03,OUT010,654.0426712036133
FDN39,OUT045,2602.0435791015625
FDX02,OUT027,5850.915771484375
FDQ16,OUT027,2614.9191284179688
FDU35,OUT018,1390.7825927734375
NCT29,OUT013,2039.6301879882812
FDZ27,OUT046,771.3119049072266
FDN57,OUT017,2203.7942504882812
FDA03,OUT018,2152.350555419922
FDZ36,OUT045,3063.6632690429688
NCU05,OUT013,1233.6419982910156
FDT39,OUT018,2090.4678344726562
FDK60,OUT017,1548.31884765625
FDZ25,OUT017,2820.79345703125
FDG12,OUT046,2041.211181640625
DRB01,OUT019,393.455509185791
NCC43,OUT027,6258.4290771484375
FDX13,OUT019,715.4347305297852
FDM22,OUT049,860.8544158935547
FDJ03,OUT027,1342.0160217285156
FDU14,OUT018,3748.2276000976562
FDB33,OUT010,457.01043701171875
FDP27,OUT046,3176.9724731445312
FDO38,OUT010,268.9824104309082
FDE28,OUT027,6250.1876220703125
FDO27,OUT035,1588.508056640625
DRL23,OUT027,2626.2099609375
FDS28,OUT046,911.3091888427734
FDX24,OUT013,1452.3771057128906
FDZ02,OUT035,1622.1707153320312
FDL46,OUT045,1727.3758239746094
FDS60,OUT027,4826.265075683594
NCO06,OUT017,679.5126495361328
FDO16,OUT035,1449.8050537109375
FDC60,OUT049,1440.7967529296875
FDA48,OUT018,3214.7601928710938
FDZ36,OUT027,4944.747741699219
FDK27,OUT045,1958.2361755371094
FDW23,OUT018,479.18231201171875
FDM14,OUT018,1575.7611389160156
FDM14,OUT013,1689.6438293457031
FDW60,OUT018,2627.57958984375
FDE21,OUT013,1883.172607421875
NCM42,OUT035,1798.832763671875
FDY59,OUT010,247.30663681030273
DRI49,OUT049,1285.9918365478516
FDT28,OUT019,392.5571060180664
FDQ22,OUT018,496.30357360839844
FDR60,OUT049,1264.4809875488281
FDC50,OUT019,273.88802337646484
FDV24,OUT013,2333.9259643554688
DRF48,OUT010,623.6426849365234
FDQ47,OUT046,712.8892669677734
DRN36,OUT049,1536.6427001953125
NCY06,OUT035,2151.6981811523438
FDE52,OUT035,1516.1577453613281
NCB54,OUT045,1998.5190734863281
NCF31,OUT035,2520.873077392578
FDJ08,OUT027,5146.2447509765625
