Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1613.8475036621094
FDW14,OUT017,1407.1278991699219
NCN55,OUT010,645.4639434814453
FDQ58,OUT017,2538.9033203125
FDY38,OUT027,6101.8048095703125
FDH56,OUT046,1905.7015075683594
FDL48,OUT018,592.6064605712891
FDC48,OUT027,2304.617889404297
FDN33,OUT045,1472.8478393554688
FDA36,OUT017,3080.6080932617188
FDT44,OUT017,1925.8246765136719
FDQ56,OUT045,1329.407470703125
NCC54,OUT019,658.9167251586914
FDU11,OUT049,2059.240264892578
DRL59,OUT013,824.5067443847656
FDM24,OUT049,2432.5205078125
FDI57,OUT045,3163.1053466796875
DRC12,OUT018,2868.8484497070312
NCM42,OUT027,2794.19140625
FDA46,OUT010,532.1684646606445
FDA31,OUT013,2815.3010864257812
NCJ31,OUT035,3892.1437377929688
FDG52,OUT046,762.3007049560547
NCL19,OUT019,366.3513641357422
FDS10,OUT035,3080.768310546875
FDX22,OUT010,605.6571426391602
NCF19,OUT035,843.4220123291016
NCE06,OUT046,2518.726776123047
DRC27,OUT046,3818.9151611328125
FDE21,OUT035,2010.12939453125
NCR42,OUT019,6.977946639060974
FDX51,OUT018,2862.1874389648438
NCR06,OUT018,489.69126892089844
FDU31,OUT027,5641.697998046875
FDU59,OUT017,2512.8477478027344
FDR03,OUT027,5693.7586669921875
FDS49,OUT027,2350.5084228515625
FDD48,OUT010,335.7770690917969
NCF18,OUT017,3143.512451171875
NCD43,OUT027,2628.1783142089844
NCD54,OUT018,1901.5124816894531
FDY19,OUT010,307.9960021972656
NCY54,OUT017,2850.5833740234375
NCL19,OUT018,2206.2008361816406
FDP23,OUT010,518.4856796264648
FDC26,OUT013,1842.3551330566406
FDR14,OUT010,146.8510036468506
NCS41,OUT035,3141.38916015625
FDF41,OUT035,3919.4912719726562
FDU34,OUT046,2000.9547119140625
DRH11,OUT046,971.4507293701172
FDM03,OUT013,1659.5926818847656
FDS31,OUT017,3174.915283203125
FDJ20,OUT017,2000.0056457519531
FDV44,OUT027,5245.393310546875
FDG02,OUT049,3141.3311157226562
FDA09,OUT013,3035.2601318359375
FDT04,OUT013,673.9967956542969
FDL58,OUT019,461.2031936645508
FDE52,OUT045,1386.0061340332031
FDW12,OUT035,2501.5343322753906
FDL51,OUT017,3531.1766967773438
NCY42,OUT027,3249.1624755859375
FDR07,OUT017,1359.6021270751953
FDN40,OUT045,2279.7962951660156
FDB35,OUT027,2508.7752380371094
FDA22,OUT017,2734.2299194335938
NCL06,OUT046,3984.5056762695312
FDI35,OUT013,3177.427490234375
NCW42,OUT045,3486.1314086914062
NCX06,OUT049,2999.8026733398438
FDC37,OUT027,2726.1239624023438
FDZ14,OUT018,1779.0576171875
DRG49,OUT049,4066.8562622070312
NCG06,OUT045,3777.409423828125
DRC36,OUT045,2786.2158813476562
FDV21,OUT019,311.6555366516113
FDB53,OUT046,2471.1675720214844
DRP47,OUT019,685.8709945678711
FDA14,OUT013,2452.1805114746094
DRC24,OUT035,2573.011199951172
FDW21,OUT018,1412.6530151367188
NCH29,OUT046,1569.9761352539062
FDU58,OUT013,3118.9163208007812
FDY27,OUT017,2894.4189453125
FDV56,OUT035,1812.9727783203125
FDT59,OUT046,4000.6129760742188
FDB23,OUT046,3424.4623413085938
FDR49,OUT045,742.0525970458984
FDB03,OUT010,627.9317321777344
FDN39,OUT045,2592.4315795898438
FDX02,OUT027,5842.88037109375
FDQ16,OUT027,2616.3616638183594
FDU35,OUT018,1398.5122985839844
NCT29,OUT013,2025.9380798339844
FDZ27,OUT046,768.5070343017578
FDN57,OUT017,2168.807647705078
FDA03,OUT018,2149.6959838867188
FDZ36,OUT045,3067.0707397460938
NCU05,OUT013,1233.5533142089844
FDT39,OUT018,2089.2127990722656
FDK60,OUT017,1535.6973266601562
FDZ25,OUT017,2832.448486328125
FDG12,OUT046,2040.2855529785156
DRB01,OUT019,416.1401062011719
NCC43,OUT027,6282.057373046875
FDX13,OUT019,751.2976531982422
FDM22,OUT049,868.8032989501953
FDJ03,OUT027,1350.31103515625
FDU14,OUT018,3753.7205200195312
FDB33,OUT010,456.38023376464844
FDP27,OUT046,3183.678466796875
FDO38,OUT010,259.48881912231445
FDE28,OUT027,6145.318603515625
FDO27,OUT035,1560.2613220214844
DRL23,OUT027,2628.41943359375
FDS28,OUT046,894.3272399902344
FDX24,OUT013,1455.9281921386719
FDZ02,OUT035,1612.6739501953125
FDL46,OUT045,1728.1361694335938
FDS60,OUT027,4863.2332763671875
NCO06,OUT017,685.4326629638672
FDO16,OUT035,1429.5394592285156
FDC60,OUT049,1427.3204345703125
FDA48,OUT018,3265.9473266601562
FDZ36,OUT027,4899.11767578125
FDK27,OUT045,1937.2120361328125
FDW23,OUT018,475.4643783569336
FDM14,OUT018,1561.2989196777344
FDM14,OUT013,1689.8033142089844
FDW60,OUT018,2628.0758361816406
FDE21,OUT013,1887.8643493652344
NCM42,OUT035,1789.8207397460938
FDY59,OUT010,253.49546813964844
DRI49,OUT049,1285.7428741455078
FDT28,OUT019,381.02098083496094
FDQ22,OUT018,502.74962615966797
FDR60,OUT049,1263.4061279296875
FDC50,OUT019,277.0130386352539
FDV24,OUT013,2350.9292602539062
DRF48,OUT010,630.2917175292969
FDQ47,OUT046,704.8242797851562
DRN36,OUT049,1528.0346069335938
NCY06,OUT035,2166.1673889160156
FDE52,OUT035,1506.547607421875
NCB54,OUT045,1990.6186828613281
NCF31,OUT035,2524.199737548828
FDJ08,OUT027,5205.391052246094
NCC07,OUT017,1662.2176818847656
NCD19,OUT027,1587.2977905273438
FDL46,OUT049,1888.5090637207031
FDM20,OUT045,4328.251403808594
NCI06,OUT010,444.9690704345703
DRM11,OUT035,4543.653869628906
NCH07,OUT018,2324.369903564453
FDS23,OUT013,2027.0539245605469
FDO49,OUT018,580.1117248535156
FDS35,OUT049,1026.1287536621094
DRK39,OUT045,1293.3997497558594
DRI39,OUT049,904.2081756591797
