Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1493.0850830078125
FDW14,OUT017,1368.044189453125
NCN55,OUT010,656.8055419921875
FDQ58,OUT017,2525.23974609375
FDY38,OUT027,5920.11083984375
FDH56,OUT046,1841.661376953125
FDL48,OUT018,591.4213256835938
FDC48,OUT027,2293.373046875
FDN33,OUT045,1484.1507568359375
FDA36,OUT017,2981.085205078125
FDT44,OUT017,1923.2825927734375
FDQ56,OUT045,1326.918701171875
NCC54,OUT019,651.613525390625
FDU11,OUT049,2015.37255859375
DRL59,OUT013,868.2445678710938
FDM24,OUT049,2349.17724609375
FDI57,OUT045,3145.922119140625
DRC12,OUT018,2858.536865234375
NCM42,OUT027,2611.0693359375
FDA46,OUT010,568.5143432617188
FDA31,OUT013,2773.011474609375
NCJ31,OUT035,3933.026123046875
FDG52,OUT046,812.138916015625
NCL19,OUT019,356.021728515625
FDS10,OUT035,3135.6904296875
FDX22,OUT010,553.51318359375
NCF19,OUT035,867.887939453125
NCE06,OUT046,2420.089599609375
DRC27,OUT046,3848.423095703125
FDE21,OUT035,2070.190185546875
NCR42,OUT019,20.0452938079834
FDX51,OUT018,2870.997314453125
NCR06,OUT018,406.14532470703125
FDU31,OUT027,5584.134765625
FDU59,OUT017,2396.4375
FDR03,OUT027,5406.59423828125
FDS49,OUT027,2293.23193359375
FDD48,OUT010,376.3485412597656
NCF18,OUT017,3059.111328125
NCD43,OUT027,2691.446044921875
NCD54,OUT018,1900.0625
FDY19,OUT010,324.32293701171875
NCY54,OUT017,2842.4697265625
NCL19,OUT018,2185.348388671875
FDP23,OUT010,512.5153198242188
FDC26,OUT013,1807.8446044921875
FDR14,OUT010,159.93116760253906
NCS41,OUT035,3150.18994140625
FDF41,OUT035,4113.25341796875
FDU34,OUT046,1984.6573486328125
DRH11,OUT046,903.437255859375
FDM03,OUT013,1661.9852294921875
FDS31,OUT017,3097.163818359375
FDJ20,OUT017,1907.935302734375
FDV44,OUT027,5176.234375
FDG02,OUT049,3011.78662109375
FDA09,OUT013,2949.306396484375
FDT04,OUT013,654.2062377929688
FDL58,OUT019,562.7819213867188
FDE52,OUT045,1459.3077392578125
FDW12,OUT035,2517.62939453125
FDL51,OUT017,3362.955078125
NCY42,OUT027,3301.4375
FDR07,OUT017,1295.9117431640625
FDN40,OUT045,2223.161865234375
FDB35,OUT027,2552.783447265625
FDA22,OUT017,2699.564208984375
NCL06,OUT046,3105.646484375
FDI35,OUT013,3104.790771484375
NCW42,OUT045,3558.51220703125
NCX06,OUT049,2867.9814453125
FDC37,OUT027,2702.388916015625
FDZ14,OUT018,1698.492431640625
DRG49,OUT049,3979.366943359375
NCG06,OUT045,3709.2099609375
DRC36,OUT045,2685.3154296875
FDV21,OUT019,356.1874694824219
FDB53,OUT046,2474.078125
DRP47,OUT019,738.95068359375
FDA14,OUT013,2486.56982421875
DRC24,OUT035,2560.35986328125
FDW21,OUT018,1466.1820068359375
NCH29,OUT046,1560.961181640625
FDU58,OUT013,3089.63623046875
FDY27,OUT017,2812.32421875
FDV56,OUT035,1699.978759765625
FDT59,OUT046,4034.066650390625
FDB23,OUT046,3477.485107421875
FDR49,OUT045,794.0225219726562
FDB03,OUT010,604.1600341796875
FDN39,OUT045,2588.69091796875
FDX02,OUT027,5638.98828125
FDQ16,OUT027,2551.849853515625
FDU35,OUT018,1359.8570556640625
NCT29,OUT013,1981.62451171875
FDZ27,OUT046,763.3995971679688
FDN57,OUT017,2106.01953125
FDA03,OUT018,2198.087646484375
FDZ36,OUT045,2977.30029296875
NCU05,OUT013,1203.7437744140625
FDT39,OUT018,2078.92578125
FDK60,OUT017,1496.249267578125
FDZ25,OUT017,2699.996826171875
FDG12,OUT046,1972.374267578125
DRB01,OUT019,412.1826477050781
NCC43,OUT027,5958.84130859375
FDX13,OUT019,696.7885131835938
FDM22,OUT049,891.4528198242188
FDJ03,OUT027,1306.98486328125
FDU14,OUT018,3700.8505859375
FDB33,OUT010,419.2123718261719
FDP27,OUT046,3115.28369140625
FDO38,OUT010,219.73016357421875
FDE28,OUT027,5912.560546875
FDO27,OUT035,1582.3160400390625
DRL23,OUT027,2556.06640625
FDS28,OUT046,910.1066284179688
FDX24,OUT013,1472.28173828125
FDZ02,OUT035,1597.8575439453125
FDL46,OUT045,1793.8524169921875
FDS60,OUT027,4894.95068359375
NCO06,OUT017,661.5159912109375
FDO16,OUT035,1419.6300048828125
FDC60,OUT049,1394.2308349609375
FDA48,OUT018,3228.02978515625
FDZ36,OUT027,4893.14892578125
FDK27,OUT045,1875.732421875
FDW23,OUT018,403.24737548828125
FDM14,OUT018,1576.772216796875
FDM14,OUT013,1651.5328369140625
FDW60,OUT018,2535.343505859375
FDE21,OUT013,1951.2662353515625
NCM42,OUT035,1773.87646484375
FDY59,OUT010,140.7274627685547
DRI49,OUT049,1310.6986083984375
FDT28,OUT019,395.5040283203125
FDQ22,OUT018,442.2120666503906
FDR60,OUT049,1307.6156005859375
FDC50,OUT019,259.1157531738281
FDV24,OUT013,2301.761474609375
DRF48,OUT010,410.0256652832031
FDQ47,OUT046,684.1981201171875
DRN36,OUT049,1571.3297119140625
NCY06,OUT035,2224.453125
FDE52,OUT035,1598.61669921875
NCB54,OUT045,2055.697998046875
NCF31,OUT035,2474.22265625
FDJ08,OUT027,5144.10595703125
NCC07,OUT017,1657.955078125
NCD19,OUT027,1742.3525390625
FDL46,OUT049,1862.667236328125
FDM20,OUT045,3803.919921875
NCI06,OUT010,362.4068603515625
DRM11,OUT035,4064.91357421875
NCH07,OUT018,2404.1982421875
FDS23,OUT013,2128.126708984375
FDO49,OUT018,553.4371337890625
FDS35,OUT049,1096.719970703125
DRK39,OUT045,1361.833984375
DRI39,OUT049,931.9414672851562
FDV04,OUT017,2642.134033203125
NCN14,OUT035,3125.766357421875
FDH08,OUT013,3983.501708984375
FDS20,OUT046,3060.3935546875
FDV40,OUT049,1217.7537841796875
FDZ48,OUT010,269.8515625
FDS24,OUT027,2429.43701171875
FDK44,OUT049,2799.361083984375
FDS48,OUT045,2375.2236328125
FDK26,OUT010,555.5376586914062
FDD23,OUT045,3020.738037109375
NCH54,OUT017,2693.65673828125
NCP14,OUT010,317.3268737792969
FDM60,OUT010,21.611854553222656
FDV24,OUT017,2265.508544921875
FDH08,OUT018,3449.32275390625
FDS12,OUT027,3415.08447265625
FDR39,OUT027,4952.32763671875
FDP12,OUT027,1078.55517578125
DRF60,OUT027,5885.8330078125
FDC09,OUT035,1804.49267578125
FDF50,OUT018,3047.5703125
FDG28,OUT035,4037.863037109375
NCE19,OUT017,932.68896484375
NCM53,OUT010,299.4396667480469
NCN18,OUT049,1829.4185791015625
FDF32,OUT035,3465.403076171875
FDF11,OUT013,3981.511474609375
DRI59,OUT049,3875.223876953125
NCG54,OUT035,2723.864013671875
FDM44,OUT046,1609.1566162109375
FDT57,OUT018,3440.295654296875
FDV24,OUT046,2291.73291015625
FDI50,OUT019,674.238037109375
FDS09,OUT035,817.313720703125
NCC31,OUT027,3827.552001953125
FDQ07,OUT019,595.7280883789062
FDC22,OUT017,3064.07080078125
FDZ56,OUT046,2646.463623046875
FDZ40,OUT019,180.6067657470703
FDS46,OUT027,2935.296630859375
DRD24,OUT045,2029.5440673828125
FDV45,OUT017,3196.9140625
FDL26,OUT045,2380.584716796875
FDA56,OUT018,1693.4556884765625
FDN27,OUT046,1678.3861083984375
FDM20,OUT049,3983.738037109375
FDO16,OUT017,1483.1832275390625
FDL03,OUT035,3194.26416015625
FDE58,OUT046,1899.5323486328125
FDI02,OUT027,2999.83740234375
NCC55,OUT019,24.711803436279297
FDR03,OUT018,2990.662109375
FDB14,OUT017,1499.2686767578125
FDR45,OUT013,3920.36083984375
NCN07,OUT017,2138.47998046875
FDM51,OUT019,259.557861328125
FDT52,OUT027,5957.0205078125
FDL26,OUT046,2427.496826171875
NCZ42,OUT046,3726.158447265625
DRI47,OUT019,391.0630187988281
FDW40,OUT013,2148.667236328125
FDN34,OUT046,2726.73291015625
FDS01,OUT035,2931.036376953125
NCG55,OUT045,1870.9549560546875
FDC11,OUT035,1405.00830078125
FDX35,OUT018,2943.541015625
NCB06,OUT046,2643.275390625
FDR09,OUT019,752.7733154296875
FDC53,OUT017,1576.911865234375
FDY45,OUT013,4091.861083984375
FDA22,OUT010,477.8483581542969
FDE02,OUT035,1550.3214111328125
FDW21,OUT045,1657.7769775390625
FDV34,OUT046,1172.6781005859375
FDS59,OUT049,1696.9271240234375
NCW17,OUT017,2218.6083984375
NCK54,OUT046,1847.6591796875
FDG17,OUT019,577.0009155273438
FDG35,OUT017,2695.733642578125
FDD08,OUT010,0.0
NCO07,OUT017,3653.2421875
FDJ10,OUT010,423.7823791503906
FDW36,OUT017,1624.0263671875
FDW21,OUT010,356.59130859375
FDY19,OUT017,1893.3065185546875
DRE03,OUT013,811.2605590820312
NCC55,OUT049,687.0578002929688
FDH52,OUT010,159.1627197265625
FDO09,OUT017,4441.34228515625
FDU43,OUT045,3730.831298828125
FDX09,OUT010,418.4703369140625
FDH40,OUT019,210.89346313476562
FDW58,OUT017,1557.719482421875
FDC47,OUT017,3909.15380859375
NCR41,OUT035,1527.6219482421875
DRG49,OUT035,4046.5986328125
FDC52,OUT027,3845.957275390625
FDY13,OUT046,1135.554443359375
FDY35,OUT013,691.829833984375
FDI35,OUT017,3172.900390625
NCU18,OUT049,2185.881103515625
FDY33,OUT018,2429.921875
FDC15,OUT027,4378.267578125
FDU01,OUT049,2787.00146484375
NCU42,OUT046,2714.279541015625
NCV29,OUT018,2585.37646484375
NCY30,OUT017,3094.272216796875
FDQ46,OUT049,1859.0263671875
FDG58,OUT027,3820.952880859375
FDK33,OUT017,3707.434326171875
NCD07,OUT045,1769.183349609375
NCX29,OUT027,3732.640869140625
NCT42,OUT013,2403.129638671875
DRN59,OUT035,878.70751953125
FDI44,OUT035,1332.4635009765625
FDA45,OUT049,2597.589599609375
FDP31,OUT045,859.471435546875
FDY01,OUT046,1875.9818115234375
FDT09,OUT018,1836.873779296875
DRH03,OUT027,2492.346923828125
FDA36,OUT018,2522.578369140625
NCF31,OUT017,2415.704833984375
FDG14,OUT049,2477.877197265625
FDG28,OUT027,5957.0205078125
FDU14,OUT049,4081.99951171875
FDY47,OUT019,313.90802001953125
FDI56,OUT049,1499.3118896484375
DRD01,OUT013,864.59423828125
FDM22,OUT046,930.3003540039062
FDH33,OUT013,668.0350341796875
DRZ24,OUT013,1881.2598876953125
NCQ38,OUT046,1636.35498046875
FDO16,OUT027,2348.221435546875
FDU07,OUT027,3732.8271484375
NCB07,OUT013,3044.755126953125
FDU48,OUT045,2016.29638671875
NCM43,OUT045,2619.607666015625
FDR31,OUT010,331.2997741699219
DRK49,OUT018,462.0939636230469
NCI30,OUT010,653.3154907226562
DRD60,OUT017,3102.568359375
NCG19,OUT046,3803.9658203125
FDH12,OUT035,1705.6707763671875
FDM32,OUT035,1664.0596923828125
FDM27,OUT035,2558.544189453125
NCU53,OUT027,4179.34619140625
NCQ18,OUT046,1617.4896240234375
FDS10,OUT013,2856.595947265625
FDB33,OUT027,4370.81494140625
FDI12,OUT013,1347.3035888671875
NCW42,OUT013,3667.46923828125
NCC06,OUT018,1844.3897705078125
FDW02,OUT017,2358.989013671875
NCD43,OUT017,1773.6695556640625
FDM57,OUT018,1065.0751953125
FDA58,OUT017,3936.872802734375
FDK56,OUT046,3126.748291015625
FDP52,OUT045,3945.875732421875
FDW20,OUT018,1724.41845703125
FDS52,OUT049,1664.01611328125
NCT29,OUT018,1658.5052490234375
NCL54,OUT013,2878.111328125
FDC05,OUT045,3001.15576171875
FDF34,OUT035,2857.505859375
FDP03,OUT027,2927.42724609375
FDD32,OUT010,213.898681640625
FDZ10,OUT045,2085.1455078125
FDZ40,OUT035,984.1427612304688
FDD51,OUT018,429.1978454589844
NCY30,OUT019,385.55096435546875
FDP58,OUT017,3614.75634765625
FDV49,OUT017,4587.11572265625
FDY24,OUT019,250.6485595703125
NCO55,OUT017,1668.7073974609375
FDR13,OUT017,1838.57275390625
FDS51,OUT017,967.5003662109375
FDP26,OUT045,1673.7786865234375
NCB54,OUT027,3410.283447265625
FDF32,OUT017,3326.070556640625
FDN31,OUT018,2805.8115234375
DRM48,OUT017,679.9020385742188
FDN20,OUT049,2688.69873046875
DRL01,OUT046,3880.405029296875
FDV56,OUT049,1676.0191650390625
DRH13,OUT027,2715.28955078125
FDA03,OUT017,2446.789794921875
FDF47,OUT027,6532.4560546875
FDX32,OUT046,2448.194091796875
FDX57,OUT049,1531.6727294921875
NCA30,OUT045,2943.657470703125
FDO49,OUT013,776.2566528320312
FDL04,OUT019,290.5740661621094
DRM48,OUT035,713.2738647460938
FDR16,OUT013,3389.587158203125
NCC19,OUT018,2761.04345703125
NCE42,OUT045,3817.850830078125
FDY24,OUT017,958.6646728515625
FDH19,OUT049,2761.562255859375
FDJ46,OUT013,2771.0888671875
FDN45,OUT010,662.0737915039062
FDY08,OUT035,2195.66845703125
FDZ37,OUT035,1518.470458984375
NCT30,OUT045,751.5294189453125
DRY23,OUT018,446.4886779785156
NCZ30,OUT018,1760.8287353515625
FDC44,OUT018,1667.4276123046875
FDB45,OUT035,1650.8482666015625
FDY04,OUT013,2681.698486328125
FDM27,OUT046,2700.066162109375
FDZ43,OUT017,3999.581298828125
FDT39,OUT019,314.58050537109375
NCC06,OUT019,353.2511291503906
FDL15,OUT027,3832.563720703125
FDL57,OUT017,4522.7822265625
FDU08,OUT046,1479.86962890625
FDK40,OUT017,4460.68310546875
FDQ12,OUT010,590.6217041015625
FDS48,OUT017,2442.838134765625
FDP09,OUT045,3328.322998046875
FDW21,OUT049,1660.9317626953125
FDY25,OUT035,3178.512451171875
DRE13,OUT017,1330.47412109375
FDV43,OUT019,45.1427116394043
FDD22,OUT045,1716.0281982421875
FDM46,OUT019,279.96319580078125
NCO30,OUT010,453.60723876953125
FDM25,OUT046,2780.659423828125
NCN41,OUT049,2058.4775390625
FDU24,OUT045,1507.1112060546875
FDZ50,OUT046,3118.9755859375
FDP45,OUT013,3985.1728515625
NCM54,OUT045,2104.638427734375
FDW10,OUT019,242.13119506835938
FDP20,OUT017,2145.4521484375
FDK32,OUT046,2475.088134765625
FDN52,OUT049,1499.3118896484375
FDM58,OUT045,1802.7203369140625
FDZ46,OUT027,2940.984375
NCA18,OUT018,1525.8349609375
FDD35,OUT046,1994.2406005859375
NCK31,OUT035,859.2628784179688
FDI40,OUT027,2682.361083984375
FDT50,OUT019,291.8617858886719
NCT06,OUT046,2639.867431640625
FDT31,OUT035,2905.599609375
FDT45,OUT049,901.6770629882812
FDT13,OUT045,3094.299560546875
FDO50,OUT045,1433.6622314453125
NCU18,OUT010,381.8818054199219
NCR54,OUT049,3177.106689453125
NCO18,OUT018,2633.817626953125
FDU09,OUT045,899.7500610351562
FDT13,OUT018,2928.99853515625
FDE09,OUT046,1887.7471923828125
NCK53,OUT019,309.291015625
FDG45,OUT049,3645.50927734375
DRH15,OUT035,775.2811279296875
FDO21,OUT019,566.5565795898438
FDD14,OUT027,5140.931640625
FDC09,OUT046,1661.8670654296875
FDH45,OUT027,1140.75927734375
FDV32,OUT046,1062.2052001953125
FDG12,OUT035,1940.0606689453125
FDS32,OUT013,2088.16845703125
NCL55,OUT018,3346.18359375
DRE01,OUT035,4096.6708984375
DRE15,OUT049,1318.21630859375
NCL42,OUT045,3871.31298828125
FDP31,OUT013,879.8582153320312
FDN33,OUT018,1240.7840576171875
FDZ59,OUT046,2620.264404296875
FDE45,OUT010,402.14813232421875
FDJ07,OUT013,1925.7203369140625
FDQ45,OUT018,2495.815185546875
FDM33,OUT027,5611.1123046875
FDO15,OUT010,214.0392303466797
FDM46,OUT013,1528.6005859375
FDR03,OUT045,3212.771484375
FDY49,OUT018,2524.399658203125
FDQ60,OUT045,1838.4398193359375
FDW10,OUT049,2474.759521484375
FDO51,OUT049,756.828369140625
FDJ40,OUT018,1411.385986328125
FDS20,OUT018,2770.576904296875
FDU45,OUT013,1868.5906982421875
FDV02,OUT035,2807.02685546875
FDN09,OUT046,3877.43798828125
NCM55,OUT027,5130.5556640625
FDN23,OUT018,2143.19189453125
FDY31,OUT010,285.39349365234375
FDW03,OUT010,377.4993896484375
FDD14,OUT046,2971.02294921875
FDV23,OUT017,2114.971435546875
DRI03,OUT045,2687.06689453125
FDN13,OUT035,1606.636474609375
FDF45,OUT027,1790.7730712890625
FDU46,OUT035,1415.8338623046875
FDB57,OUT049,3571.181640625
FDV12,OUT049,1618.7786865234375
FDQ58,OUT013,2417.83740234375
NCA18,OUT017,1824.3753662109375
FDH52,OUT049,1056.23486328125
FDM24,OUT018,2060.03076171875
NCP43,OUT027,4870.83984375
NCO18,OUT019,420.6958923339844
FDM32,OUT017,1498.3670654296875
NCL07,OUT017,636.5892333984375
FDK03,OUT013,4031.173583984375
FDP59,OUT017,1414.349853515625
FDQ24,OUT049,4064.91845703125
FDQ16,OUT018,1436.89501953125
FDU44,OUT013,2612.4970703125
FDH28,OUT010,33.75957489013672
FDV28,OUT019,38.66199493408203
FDM22,OUT045,893.4545288085938
FDR56,OUT046,3140.958740234375
FDV39,OUT049,2877.76416015625
FDU37,OUT019,243.64236450195312
FDQ11,OUT010,592.8727416992188
FDX02,OUT045,3619.298095703125
NCS42,OUT018,1239.8192138671875
FDY57,OUT027,2538.4140625
FDB21,OUT049,4013.33740234375
FDE28,OUT017,4017.100341796875
FDQ55,OUT017,1987.134033203125
FDA48,OUT049,3697.0751953125
FDZ19,OUT045,2605.816162109375
NCC43,OUT045,3693.791259765625
NCV18,OUT046,1335.4725341796875
NCA42,OUT018,2332.800048828125
FDY45,OUT046,4158.83251953125
NCC30,OUT045,2724.29345703125
FDM57,OUT013,1310.2587890625
FDL09,OUT010,427.5811462402344
FDB09,OUT027,3084.646728515625
FDT44,OUT035,1960.5435791015625
NCT06,OUT027,4393.8681640625
FDX26,OUT049,3180.60693359375
FDK32,OUT013,2502.58447265625
DRA12,OUT046,2315.392822265625
FDO46,OUT010,534.9033203125
FDE52,OUT013,1352.170654296875
NCH42,OUT045,3853.232177734375
FDV08,OUT035,760.0895385742188
FDB47,OUT018,3169.175048828125
FDC28,OUT010,254.19818115234375
FDD22,OUT046,1838.7044677734375
FDS07,OUT027,2989.934814453125
DRI13,OUT045,3668.801513671875
FDG32,OUT018,3297.801025390625
FDU14,OUT017,4144.36962890625
FDD28,OUT019,162.5046844482422
NCP41,OUT017,1761.0067138671875
FDS08,OUT049,2652.26416015625
FDX47,OUT045,2538.594482421875
FDC53,OUT019,295.58331298828125
FDQ19,OUT035,4075.19384765625
FDL14,OUT045,2337.510009765625
FDM33,OUT019,639.0896606445312
FDA51,OUT045,1923.843994140625
FDZ27,OUT018,544.8882446289062
FDT04,OUT046,671.8135986328125
DRC13,OUT049,2023.20703125
FDR16,OUT027,5576.1005859375
FDQ03,OUT027,5858.529296875
FDE38,OUT035,2736.759521484375
DRH23,OUT027,1779.9375
FDT11,OUT019,524.8123168945312
FDD09,OUT035,3156.25341796875
FDR40,OUT045,1312.39501953125
FDX07,OUT017,3103.110107421875
FDR07,OUT035,1375.9493408203125
FDA51,OUT017,1998.9083251953125
FDT59,OUT019,797.589111328125
FDF20,OUT017,3160.483154296875
FDR13,OUT045,1750.853759765625
FDY26,OUT049,3064.97998046875
FDW04,OUT017,2085.5322265625
FDK52,OUT017,3939.623046875
FDN60,OUT049,2700.230224609375
FDM09,OUT019,418.097412109375
FDP46,OUT049,1505.7515869140625
FDB50,OUT019,234.745849609375
NCQ29,OUT049,3689.564453125
FDP16,OUT027,5987.07763671875
FDX33,OUT018,2375.953369140625
FDP07,OUT010,517.8887939453125
FDN22,OUT046,4027.126220703125
FDF39,OUT049,4214.53271484375
FDS21,OUT017,1018.4251098632812
NCM42,OUT013,1654.952392578125
FDK50,OUT019,405.7230529785156
DRF13,OUT027,3793.682373046875
FDH35,OUT018,2406.611572265625
FDP60,OUT018,1345.2977294921875
DRJ49,OUT027,3339.976806640625
NCT42,OUT019,312.5222473144531
FDE38,OUT049,2759.927001953125
FDI04,OUT049,3319.36962890625
NCH54,OUT045,2563.48388671875
FDT56,OUT049,959.9707641601562
DRD15,OUT018,3245.304931640625
FDV58,OUT013,2682.795166015625
FDP21,OUT049,3271.879150390625
FDH05,OUT013,3918.921142578125
FDR10,OUT027,4446.68798828125
NCP06,OUT045,2261.407958984375
FDF33,OUT049,1749.0030517578125
DRK37,OUT013,3324.53564453125
DRH49,OUT045,1292.6151123046875
FDT58,OUT013,2711.918212890625
FDD41,OUT018,1408.869873046875
FDP40,OUT018,1619.135986328125
FDM51,OUT027,2522.354248046875
FDO45,OUT010,200.30673217773438
FDW33,OUT010,325.5680236816406
FDY24,OUT045,1001.41552734375
FDB10,OUT010,570.3273315429688
FDM40,OUT035,2176.05517578125
NCI06,OUT017,3024.198486328125
FDW12,OUT019,334.4468078613281
FDX48,OUT027,3832.563720703125
NCW05,OUT027,2601.856689453125
FDX27,OUT017,1429.8997802734375
DRM37,OUT045,3023.138916015625
FDA38,OUT045,3214.972900390625
FDR36,OUT046,669.5509643554688
FDZ45,OUT046,3308.178466796875
FDG05,OUT017,2642.881103515625
FDK28,OUT013,4377.92919921875
FDV47,OUT045,1314.702880859375
FDN21,OUT045,2569.1064453125
FDP20,OUT027,3276.867919921875
FDI35,OUT045,3025.181884765625
DRY23,OUT013,669.3080444335938
FDA56,OUT017,2070.54345703125
FDB09,OUT013,1953.4617919921875
NCO26,OUT027,2955.377197265625
FDQ49,OUT018,2247.28955078125
FDI52,OUT027,3015.490966796875
