Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1684.3796984779979
FDW14,OUT017,1437.0717514016706
NCN55,OUT010,716.4188353858461
FDQ58,OUT017,2542.151266621584
FDY38,OUT027,6206.319375944386
FDH56,OUT046,1910.3506977690292
FDL48,OUT018,690.9597862467849
FDC48,OUT027,2287.5717338576833
FDN33,OUT045,1510.7324849793135
FDA36,OUT017,3081.6138299505237
FDT44,OUT017,1952.6320607600505
FDQ56,OUT045,1350.6126269364531
NCC54,OUT019,714.994683412936
FDU11,OUT049,2028.901996587941
DRL59,OUT013,792.3249219932994
FDM24,OUT049,2453.6376145737804
FDI57,OUT045,3095.0167673018063
DRC12,OUT018,2844.8243778181877
NCM42,OUT027,2755.6833876118244
FDA46,OUT010,519.8552813662767
FDA31,OUT013,2820.682750999558
NCJ31,OUT035,3980.330612382427
FDG52,OUT046,747.6851228873376
NCL19,OUT019,337.1965526919784
FDS10,OUT035,3142.2692697185275
FDX22,OUT010,570.3012429184554
NCF19,OUT035,819.0443824891348
NCE06,OUT046,2530.373911077637
DRC27,OUT046,3746.8964059019027
FDE21,OUT035,2012.105695753617
NCR42,OUT019,80.28783399171326
FDX51,OUT018,2843.205975548679
NCR06,OUT018,582.356063547421
FDU31,OUT027,5756.53969098008
FDU59,OUT017,2509.6104122739985
FDR03,OUT027,5818.758566581781
FDS49,OUT027,2329.304720745519
FDD48,OUT010,314.394013273744
NCF18,OUT017,3150.3350085521265
NCD43,OUT027,2629.3807153787498
NCD54,OUT018,1834.1891599187015
FDY19,OUT010,298.0166518072865
NCY54,OUT017,2884.4221519036228
NCL19,OUT018,2138.270552059741
FDP23,OUT010,539.9957896289194
FDC26,OUT013,1839.693797362796
FDR14,OUT010,98.63131033499002
NCS41,OUT035,3120.9858105082976
FDF41,OUT035,4026.917982783236
FDU34,OUT046,1978.6423653020536
DRH11,OUT046,958.9026965576811
FDM03,OUT013,1686.3150024218758
FDS31,OUT017,3226.4561224816107
FDJ20,OUT017,2014.3785277936054
FDV44,OUT027,5261.159009116225
FDG02,OUT049,3185.708975042758
FDA09,OUT013,3051.2419845271834
FDT04,OUT013,658.3195121792768
FDL58,OUT019,523.2853822707825
FDE52,OUT045,1395.3056850613614
FDW12,OUT035,2530.5739127039205
FDL51,OUT017,3551.435943539065
NCY42,OUT027,3370.238346637956
FDR07,OUT017,1416.209500280451
FDN40,OUT045,2263.5066560536306
FDB35,OUT027,2470.3067893808998
FDA22,OUT017,2814.574595075519
NCL06,OUT046,3900.795529284515
FDI35,OUT013,3216.7949242087675
