Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1609.8805694580078
FDW14,OUT017,1436.429443359375
NCN55,OUT010,598.8808403015137
FDQ58,OUT017,2515.7490844726562
FDY38,OUT027,6195.296081542969
FDH56,OUT046,1922.545166015625
FDL48,OUT018,652.7288436889648
FDC48,OUT027,2484.775909423828
FDN33,OUT045,1526.376205444336
FDA36,OUT017,2939.7120361328125
FDT44,OUT017,1912.2799377441406
FDQ56,OUT045,1377.5728912353516
NCC54,OUT019,612.8845176696777
FDU11,OUT049,2060.820053100586
DRL59,OUT013,833.0591583251953
FDM24,OUT049,2408.902557373047
FDI57,OUT045,3070.602508544922
DRC12,OUT018,2929.7574768066406
NCM42,OUT027,2790.1407470703125
FDA46,OUT010,516.0968627929688
FDA31,OUT013,2807.9994201660156
NCJ31,OUT035,3929.7069091796875
FDG52,OUT046,778.8867797851562
NCL19,OUT019,366.05762481689453
FDS10,OUT035,3051.3013610839844
FDX22,OUT010,591.0482406616211
NCF19,OUT035,833.6365432739258
NCE06,OUT046,2523.624801635742
DRC27,OUT046,3865.2286071777344
FDE21,OUT035,2005.1258392333984
NCR42,OUT019,21.75518637895584
FDX51,OUT018,2915.0543518066406
NCR06,OUT018,502.240779876709
FDU31,OUT027,5543.5845947265625
FDU59,OUT017,2510.8815307617188
FDR03,OUT027,5525.333740234375
FDS49,OUT027,2486.1829833984375
FDD48,OUT010,288.6025791168213
NCF18,OUT017,3138.328582763672
NCD43,OUT027,2708.1583557128906
NCD54,OUT018,1832.6602020263672
FDY19,OUT010,303.05424880981445
NCY54,OUT017,2838.5040893554688
NCL19,OUT018,2253.298538208008
FDP23,OUT010,487.5479927062988
FDC26,OUT013,1850.181381225586
FDR14,OUT010,102.35722303390503
NCS41,OUT035,3126.749481201172
FDF41,OUT035,3920.2550659179688
FDU34,OUT046,1994.665283203125
DRH11,OUT046,1050.0123443603516
FDM03,OUT013,1669.0583953857422
FDS31,OUT017,3133.821258544922
FDJ20,OUT017,2005.6912384033203
FDV44,OUT027,5273.433654785156
FDG02,OUT049,3075.1148376464844
FDA09,OUT013,3079.4034423828125
FDT04,OUT013,695.1881561279297
FDL58,OUT019,616.6212921142578
FDE52,OUT045,1457.1634521484375
FDW12,OUT035,2474.74560546875
FDL51,OUT017,3475.7291564941406
NCY42,OUT027,3257.519073486328
FDR07,OUT017,1393.0898895263672
FDN40,OUT045,2280.1571197509766
FDB35,OUT027,2382.0748443603516
FDA22,OUT017,2654.2410888671875
NCL06,OUT046,4105.659484863281
FDI35,OUT013,3135.789276123047
NCW42,OUT045,3542.5877075195312
NCX06,OUT049,2998.1004638671875
FDC37,OUT027,2627.4993591308594
FDZ14,OUT018,1831.2774353027344
DRG49,OUT049,4001.5615234375
NCG06,OUT045,3940.0853271484375
DRC36,OUT045,2854.4363403320312
FDV21,OUT019,279.76025199890137
FDB53,OUT046,2538.654495239258
DRP47,OUT019,713.4405517578125
FDA14,OUT013,2513.651901245117
DRC24,OUT035,2525.4678344726562
FDW21,OUT018,1460.245864868164
NCH29,OUT046,1581.1034851074219
FDU58,OUT013,3156.4563598632812
FDY27,OUT017,2892.0008850097656
FDV56,OUT035,1764.6653594970703
FDT59,OUT046,4085.7578735351562
FDB23,OUT046,3539.000518798828
FDR49,OUT045,727.002067565918
FDB03,OUT010,635.9216957092285
FDN39,OUT045,2558.0477447509766
FDX02,OUT027,5853.0845947265625
FDQ16,OUT027,2548.767532348633
FDU35,OUT018,1404.5719909667969
NCT29,OUT013,2095.5232696533203
FDZ27,OUT046,764.8461685180664
FDN57,OUT017,2120.483184814453
FDA03,OUT018,2130.121536254883
FDZ36,OUT045,3150.6834106445312
NCU05,OUT013,1195.6993713378906
FDT39,OUT018,2099.5560913085938
FDK60,OUT017,1557.983627319336
FDZ25,OUT017,2858.8272094726562
FDG12,OUT046,2052.2281494140625
DRB01,OUT019,429.22501373291016
NCC43,OUT027,6364.454650878906
FDX13,OUT019,700.7895011901855
FDM22,OUT049,846.2445602416992
FDJ03,OUT027,1358.3008117675781
FDU14,OUT018,3655.7923278808594
FDB33,OUT010,449.68990325927734
FDP27,OUT046,3209.7806091308594
FDO38,OUT010,266.63477516174316
FDE28,OUT027,6342.5792236328125
FDO27,OUT035,1588.993881225586
DRL23,OUT027,2580.2192993164062
FDS28,OUT046,875.5239715576172
FDX24,OUT013,1486.8146209716797
FDZ02,OUT035,1616.297119140625
FDL46,OUT045,1769.3070373535156
FDS60,OUT027,4748.844757080078
NCO06,OUT017,699.9757843017578
FDO16,OUT035,1434.7655487060547
FDC60,OUT049,1461.0956420898438
FDA48,OUT018,3295.3494567871094
FDZ36,OUT027,4900.226104736328
FDK27,OUT045,2037.8586120605469
FDW23,OUT018,471.3724136352539
FDM14,OUT018,1571.6323852539062
FDM14,OUT013,1700.2393188476562
FDW60,OUT018,2686.761734008789
FDE21,OUT013,1947.5054321289062
NCM42,OUT035,1743.6075744628906
FDY59,OUT010,196.00704193115234
DRI49,OUT049,1308.7875518798828
FDT28,OUT019,381.39048767089844
FDQ22,OUT018,513.5905723571777
FDR60,OUT049,1253.6482772827148
FDC50,OUT019,289.02670669555664
FDV24,OUT013,2320.373794555664
DRF48,OUT010,509.0613327026367
FDQ47,OUT046,700.8388061523438
DRN36,OUT049,1542.0253448486328
NCY06,OUT035,2136.6641998291016
FDE52,OUT035,1475.2032928466797
NCB54,OUT045,2051.5088500976562
NCF31,OUT035,2473.29638671875
FDJ08,OUT027,5203.824768066406
NCC07,OUT017,1643.2049865722656
NCD19,OUT027,1542.1489715576172
FDL46,OUT049,1888.1439361572266
FDM20,OUT045,4419.126556396484
NCI06,OUT010,412.7331237792969
DRM11,OUT035,4690.776031494141
NCH07,OUT018,2381.0672760009766
FDS23,OUT013,2047.4432373046875
FDO49,OUT018,587.558349609375
FDS35,OUT049,1016.77734375
DRK39,OUT045,1358.5129089355469
DRI39,OUT049,923.1839065551758
FDV04,OUT017,2571.423797607422
NCN14,OUT035,3088.3975219726562
FDH08,OUT013,3993.886199951172
FDS20,OUT046,3126.436309814453
FDV40,OUT049,1204.7330932617188
FDZ48,OUT010,304.01309394836426
FDS24,OUT027,2351.386276245117
FDK44,OUT049,2857.080047607422
FDS48,OUT045,2515.316131591797
FDK26,OUT010,598.7248687744141
FDD23,OUT045,3065.328338623047
NCH54,OUT017,2750.2823791503906
NCP14,OUT010,263.23608779907227
FDM60,OUT010,23.356800079345703
FDV24,OUT017,2336.054962158203
FDH08,OUT018,3323.0733642578125
FDS12,OUT027,3425.216064453125
FDR39,OUT027,5046.9720458984375
FDP12,OUT027,1091.520408630371
DRF60,OUT027,6051.6689453125
FDC09,OUT035,1710.4654541015625
FDF50,OUT018,2971.262939453125
FDG28,OUT035,4027.300048828125
NCE19,OUT017,907.939079284668
NCM53,OUT010,307.67820167541504
NCN18,OUT049,1804.4222564697266
