Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1609.44921875
FDW14,OUT017,1406.3744812011719
NCN55,OUT010,659.6213760375977
FDQ58,OUT017,2524.9991149902344
FDY38,OUT027,6102.281494140625
FDH56,OUT046,1909.992431640625
FDL48,OUT018,593.7570419311523
FDC48,OUT027,2298.3168334960938
FDN33,OUT045,1472.7364501953125
FDA36,OUT017,3050.284423828125
FDT44,OUT017,1929.5934753417969
FDQ56,OUT045,1331.2835388183594
NCC54,OUT019,680.4539566040039
FDU11,OUT049,2064.2935485839844
DRL59,OUT013,823.0397033691406
FDM24,OUT049,2437.9896850585938
FDI57,OUT045,3155.7342529296875
DRC12,OUT018,2867.9208374023438
NCM42,OUT027,2792.0596313476562
FDA46,OUT010,531.2738265991211
FDA31,OUT013,2810.3563842773438
NCJ31,OUT035,3923.3154296875
FDG52,OUT046,764.9848937988281
NCL19,OUT019,364.2125930786133
FDS10,OUT035,3094.4386596679688
FDX22,OUT010,611.2778015136719
NCF19,OUT035,846.4217529296875
NCE06,OUT046,2505.4672241210938
DRC27,OUT046,3810.2642211914062
FDE21,OUT035,2006.712646484375
NCR42,OUT019,1.409303903579712
FDX51,OUT018,2854.2525634765625
NCR06,OUT018,497.4921569824219
FDU31,OUT027,5632.422119140625
FDU59,OUT017,2502.8821716308594
FDR03,OUT027,5689.287353515625
FDS49,OUT027,2345.811309814453
FDD48,OUT010,338.09429931640625
NCF18,OUT017,3144.0043334960938
NCD43,OUT027,2636.0599060058594
NCD54,OUT018,1931.6233520507812
FDY19,OUT010,318.8639907836914
NCY54,OUT017,2859.430419921875
NCL19,OUT018,2210.7074279785156
FDP23,OUT010,517.6650390625
FDC26,OUT013,1839.0628051757812
FDR14,OUT010,142.4144687652588
NCS41,OUT035,3150.2034912109375
FDF41,OUT035,3908.5723876953125
FDU34,OUT046,1999.7033081054688
DRH11,OUT046,940.3318939208984
FDM03,OUT013,1656.8359680175781
FDS31,OUT017,3180.1260986328125
FDJ20,OUT017,1996.3670654296875
FDV44,OUT027,5251.809814453125
FDG02,OUT049,3145.7127685546875
FDA09,OUT013,3029.95849609375
FDT04,OUT013,674.2583312988281
FDL58,OUT019,495.06468963623047
FDE52,OUT045,1383.2139892578125
FDW12,OUT035,2486.695770263672
FDL51,OUT017,3522.7090454101562
NCY42,OUT027,3254.8311157226562
FDR07,OUT017,1367.5311279296875
FDN40,OUT045,2269.089630126953
FDB35,OUT027,2522.2149353027344
FDA22,OUT017,2722.605712890625
NCL06,OUT046,3977.6150512695312
FDI35,OUT013,3196.362060546875
NCW42,OUT045,3476.6392822265625
NCX06,OUT049,2998.9533081054688
FDC37,OUT027,2740.6054077148438
FDZ14,OUT018,1785.150146484375
DRG49,OUT049,4057.4705200195312
NCG06,OUT045,3786.8995361328125
DRC36,OUT045,2800.6838989257812
FDV21,OUT019,313.5062255859375
FDB53,OUT046,2470.710418701172
DRP47,OUT019,684.8098754882812
FDA14,OUT013,2448.7635803222656
DRC24,OUT035,2568.563201904297
FDW21,OUT018,1426.3466491699219
NCH29,OUT046,1570.8694152832031
FDU58,OUT013,3117.1237182617188
FDY27,OUT017,2885.1028442382812
FDV56,OUT035,1812.5703735351562
FDT59,OUT046,4022.1277465820312
FDB23,OUT046,3451.8919067382812
FDR49,OUT045,739.6939086914062
FDB03,OUT010,632.5028305053711
FDN39,OUT045,2595.9236755371094
FDX02,OUT027,5845.5673828125
FDQ16,OUT027,2616.1422119140625
FDU35,OUT018,1396.646240234375
NCT29,OUT013,2025.8941955566406
FDZ27,OUT046,769.4597473144531
FDN57,OUT017,2202.1895141601562
FDA03,OUT018,2159.0267333984375
FDZ36,OUT045,3083.8204956054688
NCU05,OUT013,1242.5725555419922
FDT39,OUT018,2106.3825073242188
FDK60,OUT017,1536.85302734375
FDZ25,OUT017,2824.5651245117188
FDG12,OUT046,2017.810791015625
DRB01,OUT019,425.79114532470703
NCC43,OUT027,6267.824951171875
FDX13,OUT019,735.7863616943359
FDM22,OUT049,867.5057373046875
FDJ03,OUT027,1335.2397155761719
FDU14,OUT018,3752.8612060546875
FDB33,OUT010,452.3544464111328
FDP27,OUT046,3171.4791870117188
FDO38,OUT010,263.9305725097656
FDE28,OUT027,6194.614501953125
FDO27,OUT035,1580.8248596191406
DRL23,OUT027,2629.2555541992188
FDS28,OUT046,892.9185943603516
FDX24,OUT013,1455.3712158203125
FDZ02,OUT035,1616.6625671386719
FDL46,OUT045,1719.1891174316406
FDS60,OUT027,4841.3802490234375
NCO06,OUT017,687.8403167724609
FDO16,OUT035,1431.0001525878906
FDC60,OUT049,1432.3948974609375
FDA48,OUT018,3263.835205078125
FDZ36,OUT027,4892.728454589844
FDK27,OUT045,1941.6924743652344
FDW23,OUT018,476.33826446533203
FDM14,OUT018,1555.8340759277344
FDM14,OUT013,1684.2200927734375
FDW60,OUT018,2615.1229248046875
FDE21,OUT013,1890.3687133789062
NCM42,OUT035,1789.8806457519531
FDY59,OUT010,263.16858291625977
DRI49,OUT049,1288.6331787109375
FDT28,OUT019,384.6397399902344
FDQ22,OUT018,505.1392517089844
FDR60,OUT049,1259.2282257080078
FDC50,OUT019,295.8320960998535
FDV24,OUT013,2348.6195678710938
DRF48,OUT010,618.0857086181641
FDQ47,OUT046,704.9192657470703
DRN36,OUT049,1526.9613647460938
NCY06,OUT035,2156.7518310546875
FDE52,OUT035,1506.3573913574219
NCB54,OUT045,1988.341552734375
NCF31,OUT035,2513.715057373047
FDJ08,OUT027,5228.583801269531
NCC07,OUT017,1662.7520446777344
NCD19,OUT027,1589.3424072265625
FDL46,OUT049,1895.4591369628906
FDM20,OUT045,4335.900207519531
NCI06,OUT010,432.5845413208008
DRM11,OUT035,4579.702087402344
NCH07,OUT018,2352.3243103027344
