Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1497.4654235839844
FDW14,OUT017,1239.7372741699219
NCN55,OUT010,518.5912628173828
FDQ58,OUT017,2238.4644775390625
FDY38,OUT027,5728.8856201171875
FDH56,OUT046,1691.0672302246094
FDL48,OUT018,577.4796447753906
FDC48,OUT027,2102.372802734375
FDN33,OUT045,1272.152847290039
FDA36,OUT017,2689.9880981445312
FDT44,OUT017,1762.5267028808594
FDQ56,OUT045,1263.8411102294922
NCC54,OUT019,562.8110198974609
FDU11,OUT049,1907.4650573730469
DRL59,OUT013,681.7406616210938
FDM24,OUT049,2152.775177001953
FDI57,OUT045,2693.307861328125
DRC12,OUT018,2576.1143798828125
NCM42,OUT027,2575.330322265625
FDA46,OUT010,401.09033966064453
FDA31,OUT013,2527.714080810547
NCJ31,OUT035,3658.2989501953125
FDG52,OUT046,686.5009002685547
NCL19,OUT019,293.24941635131836
FDS10,OUT035,2902.94384765625
FDX22,OUT010,425.79183197021484
NCF19,OUT035,703.2926330566406
NCE06,OUT046,2280.8085021972656
DRC27,OUT046,3240.2314453125
FDE21,OUT035,1799.7969360351562
NCR42,OUT019,51.71967601776123
FDX51,OUT018,2534.6685180664062
NCR06,OUT018,357.8818664550781
FDU31,OUT027,5547.707275390625
FDU59,OUT017,2262.0076293945312
FDR03,OUT027,5536.904296875
FDS49,OUT027,2248.7372436523438
FDD48,OUT010,210.9228286743164
NCF18,OUT017,2882.2957763671875
NCD43,OUT027,2352.3890686035156
NCD54,OUT018,1576.4156799316406
FDY19,OUT010,192.8434181213379
NCY54,OUT017,2641.709197998047
NCL19,OUT018,1870.4769897460938
FDP23,OUT010,437.6029281616211
FDC26,OUT013,1586.1721496582031
FDR14,OUT010,148.10660362243652
NCS41,OUT035,2820.3479614257812
FDF41,OUT035,3519.05517578125
FDU34,OUT046,1754.6527099609375
DRH11,OUT046,848.9790802001953
FDM03,OUT013,1497.0476379394531
FDS31,OUT017,3028.6580810546875
FDJ20,OUT017,1766.1166381835938
FDV44,OUT027,4860.136901855469
FDG02,OUT049,2781.1967163085938
FDA09,OUT013,2828.4581909179688
FDT04,OUT013,555.4483489990234
FDL58,OUT019,512.3541793823242
FDE52,OUT045,1214.4142608642578
FDW12,OUT035,2313.411895751953
FDL51,OUT017,3122.5240478515625
NCY42,OUT027,3152.2915649414062
FDR07,OUT017,1191.645523071289
FDN40,OUT045,1985.1770935058594
FDB35,OUT027,2424.9725341796875
FDA22,OUT017,2509.9458618164062
NCL06,OUT046,3525.6200561523438
FDI35,OUT013,2920.73779296875
NCW42,OUT045,2999.6113891601562
NCX06,OUT049,2852.6519165039062
FDC37,OUT027,2578.305145263672
FDZ14,OUT018,1551.2273864746094
DRG49,OUT049,3739.3680419921875
NCG06,OUT045,3218.0447387695312
DRC36,OUT045,2466.628204345703
FDV21,OUT019,297.68670654296875
FDB53,OUT046,2222.9842224121094
