Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1631.6512
FDW14,OUT017,1418.4504
NCN55,OUT010,738.27826
FDQ58,OUT017,2419.5464
FDY38,OUT027,6323.7993
FDH56,OUT046,1858.7006
FDL48,OUT018,629.81445
FDC48,OUT027,2290.4204
FDN33,OUT045,1457.8632
FDA36,OUT017,2932.8447
FDT44,OUT017,1949.3848
FDQ56,OUT045,1414.896
NCC54,OUT019,679.48645
FDU11,OUT049,2034.3185
DRL59,OUT013,766.4959
FDM24,OUT049,2422.793
FDI57,OUT045,3046.4314
DRC12,OUT018,2838.1287
NCM42,OUT027,2853.823
FDA46,OUT010,572.2915
FDA31,OUT013,2857.13
NCJ31,OUT035,3739.7568
FDG52,OUT046,753.3255
NCL19,OUT019,330.68796
FDS10,OUT035,3148.2463
FDX22,OUT010,650.2082
NCF19,OUT035,773.9805
NCE06,OUT046,2301.4993
DRC27,OUT046,3683.557
FDE21,OUT035,2182.4607
NCR42,OUT019,83.60511
FDX51,OUT018,2761.565
NCR06,OUT018,422.94672
FDU31,OUT027,5206.719
FDU59,OUT017,2309.6772
FDR03,OUT027,5405.477
FDS49,OUT027,2478.2983
FDD48,OUT010,345.2481
NCF18,OUT017,3049.8052
NCD43,OUT027,2576.5256
NCD54,OUT018,1741.3729
FDY19,OUT010,259.59738
NCY54,OUT017,2786.0928
NCL19,OUT018,2162.2412
FDP23,OUT010,348.28207
FDC26,OUT013,1796.473
FDR14,OUT010,121.15435
NCS41,OUT035,3174.2002
FDF41,OUT035,3939.678
FDU34,OUT046,2010.0477
DRH11,OUT046,944.5908
FDM03,OUT013,1706.5963
FDS31,OUT017,3237.932
FDJ20,OUT017,2031.4078
FDV44,OUT027,5353.7896
FDG02,OUT049,3041.3938
FDA09,OUT013,3226.8103
FDT04,OUT013,638.0284
FDL58,OUT019,292.9901
FDE52,OUT045,1437.1768
FDW12,OUT035,2528.6174
FDL51,OUT017,3433.726
NCY42,OUT027,3184.4922
FDR07,OUT017,1522.3065
FDN40,OUT045,2168.0503
FDB35,OUT027,2437.637
FDA22,OUT017,2587.4585
NCL06,OUT046,4107.483
FDI35,OUT013,3398.3472
NCW42,OUT045,3513.2004
NCX06,OUT049,3079.2212
FDC37,OUT027,2687.2551
FDZ14,OUT018,1785.3945
DRG49,OUT049,4262.0913
NCG06,OUT045,3203.5813
DRC36,OUT045,2835.8528
FDV21,OUT019,305.33392
FDB53,OUT046,2641.3147
DRP47,OUT019,670.75555
FDA14,OUT013,2471.3508
DRC24,OUT035,2681.5166
FDW21,OUT018,1417.149
NCH29,OUT046,1588.6232
FDU58,OUT013,3094.954
FDY27,OUT017,2778.1248
FDV56,OUT035,1817.1577
FDT59,OUT046,3948.914
FDB23,OUT046,3368.7278
FDR49,OUT045,728.9882
FDB03,OUT010,719.49243
FDN39,OUT045,2561.8582
FDX02,OUT027,5885.2485
FDQ16,OUT027,2553.5266
FDU35,OUT018,1456.885
NCT29,OUT013,2042.3314
FDZ27,OUT046,742.07996
FDN57,OUT017,2156.358
FDA03,OUT018,2084.1636
FDZ36,OUT045,3069.4192
NCU05,OUT013,1158.929
FDT39,OUT018,2172.6875
FDK60,OUT017,1572.5674
FDZ25,OUT017,2881.3762
FDG12,OUT046,2151.0586
DRB01,OUT019,235.584
NCC43,OUT027,6227.233
FDX13,OUT019,562.12476
FDM22,OUT049,876.3476
FDJ03,OUT027,1360.7819
FDU14,OUT018,3858.801
FDB33,OUT010,524.2008
FDP27,OUT046,3191.2463
FDO38,OUT010,210.94676
FDE28,OUT027,6191.9775
FDO27,OUT035,1712.0634
DRL23,OUT027,2544.3037
FDS28,OUT046,870.78613
FDX24,OUT013,1382.935
FDZ02,OUT035,1595.5721
FDL46,OUT045,1672.784
FDS60,OUT027,4979.774
NCO06,OUT017,630.30096
FDO16,OUT035,1523.6301
FDC60,OUT049,1521.1251
FDA48,OUT018,3394.8992
FDZ36,OUT027,4823.4414
FDK27,OUT045,1903.5352
FDW23,OUT018,496.34372
FDM14,OUT018,1457.179
FDM14,OUT013,1698.3701
FDW60,OUT018,2269.7034
FDE21,OUT013,2006.6747
NCM42,OUT035,1850.9352
FDY59,OUT010,166.93791
DRI49,OUT049,1287.9565
FDT28,OUT019,397.8891
FDQ22,OUT018,464.6862
FDR60,OUT049,1213.8274
FDC50,OUT019,268.9392
FDV24,OUT013,2255.4497
DRF48,OUT010,417.4669
FDQ47,OUT046,689.569
DRN36,OUT049,1541.7344
NCY06,OUT035,2209.4036
FDE52,OUT035,1548.7018
NCB54,OUT045,1886.3431
NCF31,OUT035,2494.9333
FDJ08,OUT027,4957.9854
NCC07,OUT017,1695.7463
NCD19,OUT027,1496.2957
FDL46,OUT049,1878.5808
FDM20,OUT045,3988.7336
NCI06,OUT010,463.39206
DRM11,OUT035,4421.888
NCH07,OUT018,2377.7288
FDS23,OUT013,2136.0767
FDO49,OUT018,600.8443
FDS35,OUT049,1054.8906
DRK39,OUT045,1273.4131
DRI39,OUT049,895.1677
FDV04,OUT017,2375.328
NCN14,OUT035,3014.1904
FDH08,OUT013,4031.495
FDS20,OUT046,3164.775
FDV40,OUT049,1189.5963
FDZ48,OUT010,240.23393
FDS24,OUT027,2351.9746
FDK44,OUT049,2795.839
FDS48,OUT045,2426.7473
FDK26,OUT010,749.95886
FDD23,OUT045,2923.6482
NCH54,OUT017,2779.0132
NCP14,OUT010,280.95923
FDM60,OUT010,113.453354
FDV24,OUT017,2237.2827
FDH08,OUT018,3074.3445
FDS12,OUT027,3462.4473
FDR39,OUT027,5138.9
FDP12,OUT027,994.90466
DRF60,OUT027,5675.511
FDC09,OUT035,1818.9615
FDF50,OUT018,2887.31
FDG28,OUT035,3870.117
NCE19,OUT017,887.34216
NCM53,OUT010,240.26003
NCN18,OUT049,1826.8468
FDF32,OUT035,3405.9846
FDF11,OUT013,4108.043
DRI59,OUT049,4132.4897
NCG54,OUT035,2819.1304
FDM44,OUT046,1648.1204
FDT57,OUT018,3090.631
FDV24,OUT046,2237.2524
FDI50,OUT019,737.4346
FDS09,OUT035,806.3653
NCC31,OUT027,3858.5957
FDQ07,OUT019,522.27313
FDC22,OUT017,3172.1804
FDZ56,OUT046,2745.7485
FDZ40,OUT019,166.98415
FDS46,OUT027,2876.1504
DRD24,OUT045,2094.3403
FDV45,OUT017,3376.3489
FDL26,OUT045,2513.6953
FDA56,OUT018,1819.0183
FDN27,OUT046,1727.1191
FDM20,OUT049,4386.2803
FDO16,OUT017,1611.8552
FDL03,OUT035,3275.5474
FDE58,OUT046,1857.3354
FDI02,OUT027,3147.7866
NCC55,OUT019,109.775986
FDR03,OUT018,3089.3862
FDB14,OUT017,1494.02
FDR45,OUT013,4238.9683
NCN07,OUT017,2151.2058
FDM51,OUT019,233.22183
FDT52,OUT027,5953.0493
FDL26,OUT046,2419.0603
NCZ42,OUT046,3639.735
DRI47,OUT019,409.64087
FDW40,OUT013,2277.43
FDN34,OUT046,2760.1707
FDS01,OUT035,3047.1016
NCG55,OUT045,1871.5918
FDC11,OUT035,1276.8029
FDX35,OUT018,2851.6975
NCB06,OUT046,2566.807
FDR09,OUT019,434.99408
FDC53,OUT017,1632.1528
FDY45,OUT013,3919.3015
FDA22,OUT010,455.55066
FDE02,OUT035,1591.3442
FDW21,OUT045,1737.0426
FDV34,OUT046,1139.5452
FDS59,OUT049,1758.981
NCW17,OUT017,2255.4707
NCK54,OUT046,1907.167
FDG17,OUT019,594.9394
FDG35,OUT017,2805.1108
FDD08,OUT010,59.50902
NCO07,OUT017,4039.9497
FDJ10,OUT010,378.41217
FDW36,OUT017,1680.5566
FDW21,OUT010,320.69696
FDY19,OUT017,1931.5234
DRE03,OUT013,750.6997
NCC55,OUT049,633.2734
FDH52,OUT010,156.28511
FDO09,OUT017,4108.405
FDU43,OUT045,3585.5393
FDX09,OUT010,405.72043
FDH40,OUT019,231.22644
FDW58,OUT017,1684.3368
FDC47,OUT017,4162.535
NCR41,OUT035,1580.353
DRG49,OUT035,4142.9155
FDC52,OUT027,3852.7021
FDY13,OUT046,1163.8745
FDY35,OUT013,673.5702
FDI35,OUT017,3543.5298
NCU18,OUT049,2242.9348
FDY33,OUT018,2433.117
FDC15,OUT027,4067.0044
FDU01,OUT049,3038.5198
NCU42,OUT046,2878.256
NCV29,OUT018,2503.1401
NCY30,OUT017,3152.5723
FDQ46,OUT049,1791.269
FDG58,OUT027,3981.4463
FDK33,OUT017,3869.9302
NCD07,OUT045,1761.2958
NCX29,OUT027,3817.8157
NCT42,OUT013,2375.039
DRN59,OUT035,769.40704
FDI44,OUT035,1236.3654
FDA45,OUT049,2243.0537
FDP31,OUT045,847.097
FDY01,OUT046,1931.0975
FDT09,OUT018,1862.9323
DRH03,OUT027,2574.5396
FDA36,OUT018,2188.0054
NCF31,OUT017,2422.2302
FDG14,OUT049,2465.6155
FDG28,OUT027,6129.631
FDU14,OUT049,4312.5884
FDY47,OUT019,249.78235
FDI56,OUT049,1488.7529
DRD01,OUT013,814.10913
FDM22,OUT046,884.4674
FDH33,OUT013,659.35767
DRZ24,OUT013,1930.063
