iter	RMSE
0	1696.581162
1	1686.834435
2	1677.377832
3	1668.295549
4	1659.22616
5	1650.905492
6	1642.041139
7	1633.269859
8	1624.765795
9	1616.042722
10	1607.647104
11	1599.578057
12	1591.336078
13	1583.209614
14	1575.064404
15	1567.223322
16	1559.406875
17	1551.879174
18	1544.256961
19	1537.010053
20	1529.797056
21	1522.95018
22	1515.779975
23	1509.017733
24	1502.028011
25	1495.336809
26	1488.449333
27	1481.88903
28	1475.600747
29	1469.553252
30	1463.565312
31	1457.234536
32	1450.941703
33	1444.825473
34	1439.104228
35	1433.129219
36	1427.137482
37	1421.854071
38	1416.123974
39	1410.682237
40	1405.501732
41	1400.154637
42	1394.744043
43	1389.712285
44	1384.635456
45	1379.673222
46	1374.575195
47	1369.745373
48	1364.936286
49	1360.384003
50	1356.049173
51	1351.396206
52	1347.224515
53	1342.995553
54	1338.609348
55	1334.341695
56	1330.088781
57	1326.186028
58	1322.049364
59	1318.084615
60	1314.09052
61	1310.346823
62	1306.446169
63	1302.751736
64	1299.229553
65	1295.427395
66	1291.658295
67	1288.027967
68	1285.046714
69	1281.473714
70	1278.08668
71	1274.742387
72	1271.442443
73	1268.053282
74	1264.884805
75	1261.575948
76	1258.401686
77	1255.484058
78	1252.453989
79	1249.423251
80	1246.6331
81	1243.870934
82	1240.958548
83	1238.347272
84	1235.698382
85	1233.14653
86	1230.427068
87	1227.704009
88	1225.038781
89	1222.543009
90	1220.009622
91	1217.551823
92	1215.231547
93	1212.824858
94	1210.507589
95	1208.226677
96	1206.012355
97	1204.139428
98	1201.87411
99	1199.667316
100	1197.501343
101	1195.371188
102	1193.324503
103	1191.347217
104	1189.284107
105	1187.36161
106	1185.471548
107	1183.524378
108	1181.575632
109	1179.762552
110	1177.995499
111	1176.333886
112	1174.576146
113	1172.81
114	1171.190644
115	1169.580201
116	1167.948384
117	1166.277329
118	1164.640119
119	1163.285577
120	1161.783568
121	1160.283276
122	1158.870071
123	1157.392572
124	1155.911821
125	1154.455199
126	1153.177516
127	1151.927855
128	1150.637589
129	1149.389757
130	1148.104282
131	1146.854284
132	1145.589048
133	1144.439311
134	1143.323622
135	1142.129926
136	1141.09966
137	1139.962642
138	1139.054067
139	1138.057861
140	1136.924329
141	1135.880518
142	1134.853567
143	1133.754393
144	1132.893676
145	1131.841736
146	1130.962587
147	1129.963191
148	1128.952363
149	1128.023607
150	1127.121415
151	1126.190655
152	1125.387304
153	1124.536143
154	1123.651945
155	1122.81391
156	1121.936082
157	1121.082981
158	1120.336043
159	1119.532164
160	1118.751269
161	1117.950998
162	1117.286084
163	1116.51069
164	1115.775328
165	1115.017467
166	1114.378999
167	1113.644745
168	1112.959034
169	1112.303966
170	1111.607896
171	1110.942609
172	1110.29135
173	1109.665262
174	1109.043402
175	1108.484244
176	1107.862034
177	1107.239171
178	1106.699765
179	1106.15821
180	1105.580412
181	1105.014596
182	1104.467942
183	1103.900175
184	1103.418237
185	1102.928812
186	1102.394196
187	1101.943652
188	1101.477367
189	1101.054572
190	1100.630208
191	1100.111142
192	1099.660133
193	1099.30452
194	1098.862044
195	1098.485438
196	1098.03215
197	1097.639432
198	1097.212815
199	1096.848107
200	1096.434268
201	1096.007263
202	1095.579837
203	1095.232532
204	1094.88709
205	1094.540255
206	1094.16709
207	1093.775654
208	1093.446905
209	1093.071506
210	1092.725554
211	1092.361256
212	1092.045116
213	1091.682319
214	1091.330442
215	1091.094695
216	1090.734666
217	1090.451441
218	1090.152322
219	1089.86348
220	1089.607844
221	1089.364518
222	1089.064338
223	1088.760976
224	1088.470477
225	1088.239309
226	1087.935461
227	1087.690496
228	1087.430923
229	1087.218734
230	1086.954217
231	1086.701444
232	1086.451394
233	1086.166265
234	1085.93319
235	1085.725558
236	1085.469031
237	1085.240807
238	1085.005949
239	1084.817524
240	1084.640655
241	1084.436155
242	1084.206474
243	1084.022498
244	1083.828443
245	1083.611756
246	1083.397549
247	1083.196386
248	1082.966003
249	1082.775637
250	1082.556824
251	1082.364343
252	1082.170193
253	1081.997558
254	1081.823434
255	1081.64551
256	1081.484933
257	1081.318733
258	1081.175124
259	1080.97926
260	1080.835506
261	1080.641376
262	1080.487505
263	1080.316211
264	1080.119728
265	1079.957456
266	1079.784314
267	1079.586362
268	1079.415063
269	1079.244906
270	1079.061411
271	1078.917949
272	1078.80805
273	1078.64439
274	1078.519025
275	1078.376435
276	1078.216508
277	1078.029581
278	1077.858928
279	1077.693016
280	1077.570849
281	1077.424613
282	1077.320741
283	1077.188356
284	1077.090653
285	1076.904463
286	1076.792084
287	1076.662443
288	1076.543427
289	1076.418468
290	1076.334654
291	1076.210462
292	1076.101885
293	1075.966279
294	1075.827805
295	1075.702481
296	1075.589854
297	1075.519064
298	1075.362305
299	1075.265726
300	1075.157022
301	1075.053852
302	1074.951035
303	1074.831029
304	1074.729782
305	1074.603659
306	1074.505341
307	1074.379663
308	1074.29011
309	1074.195234
310	1074.091289
311	1074.013023
312	1073.923557
313	1073.827198
314	1073.727624
315	1073.61676
316	1073.515526
317	1073.37631
318	1073.305975
319	1073.229071
320	1073.121333
321	1073.033666
